_id,genres,movie,directors,stars,year,runtime,Up_System,index
4799,"Adventure, Science Fiction",Circuitry Man II: Plughead Rewired ,"Robert Lovy, Steven Lovy","Vernon Wells, Deborah Shelton, Jim Metzler, Dennis Christopher, Nicholas Worth",1994.0,98.0,CM,20
4384,Sci-Fi,Plughead Rewired: Circuitry Man II,"Robert Lovy, Steven Lovy","Vernon Wells, Deborah Shelton, Jim Metzler, Dennis Christopher",1994.0,98.0,CM,20
3058,"Drama, Science Fiction",Thread ,Alexander Voulgaris,"Sofia Kokkali, Vangelis Loukissas, Daphne Patakia, Giorgos Karpathakis, Sofia Georgovassili",2017.0,94.0,CM,21
4217,"Drama, Sci-Fi",Thread,Alexander Voulgaris,"Sofia Kokkali, Vangelis Loukissas, Daphne Patakia, Giorgos Karpathakis",2016.0,94.0,CM,21
4019,"Action, Horror, Sci-Fi",The Dead Undead,"Matthew R. Anderson, Edward Conna","Luke Goss, Matthew R. Anderson, Spice Williams-Crosby, Luke LaFontaine",2010.0,90.0,CM,22
4541,"Horror, Science Fiction, Action",The Dead Undead ,"Edward Conna, Matthew R. Anderson","Luke Goss, Joshua Alba, Matthew R. Anderson, Laura Chinn, Cameron Goodman",2010.0,90.0,CM,22
4952,"Science Fiction, Horror",Z/Rex: The Jurassic Dead ,"Milko Davis, Thomas Martwick","Matt Block, Ben Johnson, Raquel Pennington, Cooper Elliott, Adam Singer",2017.0,82.0,CM,23
3080,"Action, Adventure, Comedy",The Jurassic Dead,"Milko Davis Main Director, Thomas Martwick","Matt Block, Cooper Elliott, Ben Johnson, Mia Paris",2017.0,82.0,CM,23
3585,"Science Fiction, Thriller",O2 ,,Anne Hathaway,2019.0,,CM,24
2499,"Sci-Fi, Thriller",Firestarter,Fatih Akin,,,,CM,24
2550,"Action, Comedy, Adventure",The Wild World of Batwoman,Jerry Warren,"Katherine Victor, George Mitchell, Steve Brodie, Richard Banks",1966.0,70.0,CM,25
2008,"Adventure, Crime, Comedy, Science Fiction",The Wild World of Batwoman ,Jerry Warren,"Katherine Victor, George Mitchell, Steve Brodie, Richard Banks, Steve Conte",1966.0,70.0,CM,25
4262,Sci-Fi,2177: The San Francisco Love Hacker Crimes,Jose Figueroa,"Sean Patrick Flanery, Dominique Swain, Miracle Laurie, Shane Coffey",,98.0,CM,26
2537,"Action, Science Fiction",The Archiver ,,,2011.0,4.0,CM,26
65,"Drama, Science Fiction",LFO ,Antonio Tubln,"Patrik Karlson, Izabella Jo Tschig, Per Lfberg, Ahnna Rasch, Lukas Loughran",2013.0,94.0,CM,27
3945,"Drama, Sci-Fi",LFO,Antonio Tublen,"Patrik Karlson, Izabella Jo Tschig, Per Lfberg, Ahnna Rasch",2013.0,94.0,CM,27
874,"Science Fiction, Family, Animation",Chronopolis ,Piotr Kamler,Michael Lonsdale,1982.0,52.0,CM,28
4688,"Animation, Drama, Fantasy",Chronopolis,Piotr Kamler,Michael Lonsdale,1982.0,52.0,CM,28
4166,"Action, Science Fiction",The Last Warrior ,Romolo Guerrieri,"William Mang, Marina Costa, Harrison Muller Jr., Woody Strode, Margit Evelyn Newton",1984.0,95.0,CM,29
4085,"Action, Sci-Fi",The Final Executioner,Romolo Guerrieri,"William Mang, Marina Costa, Harrison Muller, Woody Strode",1984.0,95.0,CM,29
1416,"Horror, Mystery, Science Fiction, Thriller",Invasion of the Body Snatchers ,Philip Kaufman,"Donald Sutherland, Brooke Adams, Leonard Nimoy, Veronica Cartwright, Jeff Goldblum",1978.0,116.0,CM,30
509,"Horror, Sci-Fi",Invasion of the Body Snatchers,Philip Kaufman,"Donald Sutherland, Brooke Adams, Jeff Goldblum, Veronica Cartwright",1978.0,115.0,CM,30
1413,"Horror, Science Fiction",Mutant Species ,David A. Prior,"Leo Rossi, Ted Prior, Denise Crosby, Grant Gelt, Powers Boothe",1995.0,100.0,CM,31
3351,"Horror, Sci-Fi",Mutant Species,David A. Prior,"Leo Rossi, Ted Prior, Denise Crosby, Grant Gelt",1994.0,100.0,CM,31
3884,"Action, Adventure, Animation, Science Fiction",Scryed Alteration II: Tao ,Goro Taniguchi,,2011.0,96.0,CM,32
4649,Sci-Fi,Gene Warz II: Walkabout,,"Vitina Marcus, Lena Pousette, J.J. Diambrini-Palazzi, Nigel Barber",,,CM,32
3163,"Action, Sci-Fi",626 Evolution,John Lyde,"Brandon Ray Olive, Demetrius Daniels, Michael Flynn, James Gaisford",2017.0,79.0,CM,33
2165,"Action, Science Fiction",626 Evolution ,John Lyde,"Danielle C. Ryan, James Gaisford, Michael Flynn, Demetrius Daniels, Landon Henneman",2017.0,79.0,CM,33
4703,"Action, Science Fiction",Princess Blade ,Shinsuke Sato,"Yumiko Shaku, Shir Sano, Yichi Numata, Kyusaku Shimada, Yko Chsokabe",2001.0,95.0,CM,34
3698,"Action, Sci-Fi",The Princess Blade,Shinsuke Sato,"Yumiko Shaku, Hideaki It, Yichi Numata, Shir Sano",2001.0,93.0,CM,34
1356,"Comedy, Horror, Sci-Fi",Hobgoblins,Rick Sloane,"Tom Bartlett, Paige Sullivan, Steven Boggs, Kelley Palmer",1988.0,88.0,CM,35
1087,"Horror, Action, Comedy, Thriller, Science Fiction",Hobgoblins ,Rick Sloane,"Tom Bartlett, Paige Sullivan, Steven Boggs, Kelley Palmer, Billy Frank",1988.0,92.0,CM,35
980,"Drama, Family, Sci-Fi",After Darkness,Batan Silva,"Natalia Dyer, Valorie Curry, Kyra Sedgwick, Tim Daly",2018.0,98.0,CM,36
2596,"Drama, Family, Thriller, Science Fiction",After Darkness ,Batan Silva,"Natalia Dyer, Valorie Curry, Kyra Sedgwick, Tim Daly, John Patrick Amedori",2019.0,98.0,CM,36
2304,"Drama, Sci-Fi",Journey to the Far Side of the Sun,Robert Parrish,"Roy Thinnes, Ian Hendry, Patrick Wymark, Lynn Loring",1969.0,101.0,CM,37
2106,Science Fiction,Journey to the Far Side of the Sun ,Robert Parrish,"Roy Thinnes, Ian Hendry, Patrick Wymark, Lynn Loring, Loni von Friedl",1969.0,101.0,CM,37
