movie,directors,stars,year,runtime,genres
Sleeper,Woody Allen,"Woody Allen, Diane Keaton, John Beck, Mary Gregory",1973,89 min,"Comedy, Sci-Fi"
Solis,Carl Strathie,"Steven Ogg, Alice Lowe, Sid Phoenix, Henry Douthwaite",2018,92 min,"Action, Adventure, Sci-Fi"
Brainstorm,Douglas Trumbull,"Christopher Walken, Natalie Wood, Louise Fletcher, Cliff Robertson",1983,106 min,"Sci-Fi, Thriller"
Automata,Gabe Ibáñez,"Antonio Banderas, Birgitte Hjort Sørensen, Dylan McDermott, Melanie Griffith",2014,109 min,"Action, Sci-Fi, Thriller"
The Thinning,Michael J. Gallagher,"Logan Paul, Peyton List, Lia Marie Johnson, Calum Worthy",2016,81 min,"Action, Drama, Horror"
House of Dracula,Erle C. Kenton,"Onslow Stevens, John Carradine, Lon Chaney Jr., Martha O'Driscoll",1945,67 min,"Fantasy, Horror, Sci-Fi"
Critters 3,Kristine Peterson,"John Calvin, Aimee Brooks, Christian Cousins, Joseph Cousins",1991,86 min,"Comedy, Horror, Sci-Fi"
Outlander,Howard McCain,"Jim Caviezel, Sophia Myles, Ron Perlman, Jack Huston",2008,115 min,"Action, Adventure, Sci-Fi"
The Stepford Wives,Bryan Forbes,"Katharine Ross, Paula Prentiss, Peter Masterson, Nanette Newman",1975,115 min,"Horror, Mystery, Sci-Fi"
Cyborg,Albert Pyun,"Jean-Claude Van Damme, Deborah Richter, Vincent Klyn, Alex Daniels",1989,86 min,"Action, Sci-Fi, Thriller"
Cowboy Bebop: The Movie,"Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura, Yoshiyuki Takei","Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera",2001,115 min,"Animation, Action, Crime"
Cooties,"Jonathan Milott, Cary Murnion","Elijah Wood, Rainn Wilson, Alison Pill, Jack McBrayer",2014,88 min,"Action, Comedy, Horror"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,"Paige Turco, David Warner, Michelan Sisti, Leif Tilden",1991,88 min,"Action, Adventure, Comedy"
Victor Frankenstein,Paul McGuigan,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott",2015,110 min,"Drama, Horror, Sci-Fi"
Hot Bot,Michael Polish,"Zack Pearlman, Doug Haley, Cynthia Kirchner, David Shackelford",2016,86 min,"Comedy, Sci-Fi"
The Blob,Chuck Russell,"Shawnee Smith, Kevin Dillon, Donovan Leitch Jr., Jeffrey DeMunn",1988,95 min,"Horror, Sci-Fi, Thriller"
Beyond Skyline,Liam O'Donnell,"Frank Grillo, Bojana Novakovic, Jonny Weston, Callan Mulvey",2017,106 min,"Action, Adventure, Horror"
Halloween III: Season of the Witch,Tommy Lee Wallace,"Tom Atkins, Stacey Nelkin, Dan O'Herlihy, Michael Currie",1982,98 min,"Horror, Mystery, Sci-Fi"
Nausicaä of the Valley of the Wind,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",1984,117 min,"Animation, Adventure, Fantasy"
The Secret of NIMH,Don Bluth,"Elizabeth Hartman, Derek Jacobi, Dom DeLuise, Arthur Malet",1982,82 min,"Animation, Adventure, Drama"
Teenage Mutant Ninja Turtles,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014,101 min,"Action, Adventure, Comedy"
Demolition Man,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",1993,115 min,"Action, Crime, Sci-Fi"
Chronicle,Josh Trank,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly",2012,84 min,"Drama, Sci-Fi, Thriller"
Death Race,Paul W.S. Anderson,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane",2008,105 min,"Action, Sci-Fi, Thriller"
Pandorum,Christian Alvart,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue",2009,108 min,"Action, Horror, Mystery"
Cowboys & Aliens,Jon Favreau,"Daniel Craig, Harrison Ford, Olivia Wilde, Abigail Spencer",2011,119 min,"Action, Sci-Fi, Thriller"
The Terminal Man,Mike Hodges,"George Segal, Joan Hackett, Richard Dysart, Donald Moffat",1974,107 min,"Horror, Sci-Fi, Thriller"
Persephone,Jeffrey Morris,"Mary-Louise Parker, Brianna Hildebrand, Emile Hirsch, Malcolm McDowell",,,Sci-Fi
Welcome to Willits,Trevor Ryan,"Bill Sage, Chris Zylka, Anastasia Baranova, Sabina Gadecki",2016,84 min,"Horror, Sci-Fi"
Strange Nature,James Ojala,"Stephen Tobolowsky, Carlos Alazraqui, Lisa Sheridan, John Hennigan",2018,100 min,"Drama, Horror, Mystery"
Invasion of the Bee Girls,Denis Sanders,"William Smith, Anitra Ford, Victoria Vetri, Cliff Osmond",1973,86 min,"Horror, Sci-Fi"
Kin-dza-dza!,Georgiy Daneliya,"Stanislav Lyubshin, Evgeniy Leonov, Yuriy Yakovlev, Levan Gabriadze",1986,135 min,"Comedy, Drama, Sci-Fi"
Voyage of the Rock Aliens,James Fargo,"Pia Zadora, Craig Sheffer, Tom Nolan, Ruth Gordon",1984,97 min,"Comedy, Musical, Sci-Fi"
The Remaining,Casey La Scala,"Johnny Pacar, Shaun Sipos, Bryan Dechart, Alexa PenaVega",2014,88 min,"Drama, Horror, Mystery"
Neon Maniacs,Joseph Mangine,"Clyde Hayes, Leilani Sarelle, Donna Locke, Victor Brandt",1986,91 min,"Horror, Sci-Fi, Thriller"
The Love Factor,Michael Cort,"James Robertson Justice, Charles Hawtrey, Robin Hawdon, Anna Gaël",1969,86 min,"Comedy, Fantasy, Sci-Fi"
My Science Project,Jonathan R. Betuel,"John Stockwell, Danielle von Zerneck, Fisher Stevens, Raphael Sbarge",1985,94 min,"Action, Adventure, Comedy"
Marooned,John Sturges,"Gregory Peck, Richard Crenna, David Janssen, James Franciscus",1969,134 min,"Adventure, Drama, Sci-Fi"
After Darkness,Batan Silva,"Natalia Dyer, Valorie Curry, Kyra Sedgwick, Tim Daly",2018,98 min,"Drama, Family, Sci-Fi"
Horror Express,Eugenio Martín,"Christopher Lee, Peter Cushing, Alberto de Mendoza, Silvia Tortosa",1972,88 min,"Horror, Sci-Fi"
The Prey,"Cire Hensman, Matthew Hensman","Danny Trejo, Adrian Paul, Nick Chinlund, Kevin Grevioux",2019,90 min,"Action, Sci-Fi, Thriller"
Without Warning,Greydon Clark,"Jack Palance, Martin Landau, Tarah Nutter, Christopher S. Nelson",1980,89 min,"Horror, Sci-Fi, Thriller"
Man Vs.,Adam Massey,"Chris Diamantopoulos, Chloe Bradt, Michael Cram, Kelly Fanson",2015,87 min,"Horror, Sci-Fi, Thriller"
Hungerford,Drew Casson,"Georgia Bradley, Sam Carter, Drew Casson, Mark Cusack",2014,79 min,"Horror, Sci-Fi"
Terra Formars,Takashi Miike,"Rinko Kikuchi, Rila Fukushima, Shun Oguri, Kane Kosugi",2016,108 min,"Action, Horror, Sci-Fi"
Strange Brew,"Rick Moranis, Dave Thomas","Rick Moranis, Dave Thomas, Max von Sydow, Paul Dooley",1983,90 min,"Comedy, Crime, Sci-Fi"
Black Sheep,Jonathan King,"Oliver Driver, Nathan Meister, Tammy Davis, Matthew Chamberlain",2006,87 min,"Comedy, Horror, Sci-Fi"
God Told Me To,Larry Cohen,"Tony Lo Bianco, Deborah Raffin, Sandy Dennis, Sylvia Sidney",1976,91 min,"Crime, Horror, Sci-Fi"
Godzilla,Ishirô Honda,"Takashi Shimura, Akihiko Hirata, Akira Takarada, Momoko Kôchi",1954,96 min,"Drama, Horror, Sci-Fi"
Nazi Overlord,Rob Pallatina,"Tom Sizemore, Dominique Swain, Andrew Liberty, Greg Furman",2018,91 min,"Action, Adventure, Horror"
The Omega Man,Boris Sagal,"Charlton Heston, Anthony Zerbe, Rosalind Cash, Paul Koslo",1971,98 min,"Action, Sci-Fi, Thriller"
Turbo,David Soren,"Ryan Reynolds, Paul Giamatti, Maya Rudolph, Samuel L. Jackson",2013,96 min,"Animation, Adventure, Comedy"
Species II,Peter Medak,"Natasha Henstridge, Michael Madsen, Marg Helgenberger, Mykelti Williamson",1998,93 min,"Action, Horror, Sci-Fi"
Fahrenheit 451,François Truffaut,"Oskar Werner, Julie Christie, Cyril Cusack, Anton Diffring",1966,112 min,"Drama, Sci-Fi"
From Beyond,Stuart Gordon,"Jeffrey Combs, Barbara Crampton, Ted Sorel, Ken Foree",1986,85 min,"Horror, Sci-Fi"
*batteries not included,Matthew Robbins,"Hume Cronyn, Jessica Tandy, Frank McRae, Elizabeth Peña",1987,106 min,"Comedy, Family, Fantasy"
Max Winslow and the House of Secrets,Sean Olson,"Chad Michael Murray, Jason Genao, Tanner Buchanan, Jade Chynoweth",,,Sci-Fi
Color Out of Space,Richard Stanley,"Nicolas Cage, Q'orianka Kilcher, Joely Richardson, Brendan Meyer",,,"Horror, Sci-Fi"
Evils of the Night,Mohammed Rustam,"Neville Brand, Aldo Ray, Tina Louise, John Carradine",1985,84 min,"Horror, Sci-Fi"
Pokémon: The First Movie - Mewtwo Strikes Back,"Kunihiko Yuyama, Michael Haigney","Veronica Taylor, Rachael Lillis, Eric Stuart, Jay Goede",1998,96 min,"Animation, Action, Adventure"
Hostile,Mathieu Turi,"Brittany Ashworth, Grégory Fitoussi, Javier Botet, Jay Benedict",2017,83 min,"Drama, Horror, Sci-Fi"
The Invisible Man,James Whale,"Claude Rains, Gloria Stuart, William Harrigan, Henry Travers",1933,71 min,"Horror, Sci-Fi"
Panic in Year Zero,Ray Milland,"Ray Milland, Jean Hagen, Frankie Avalon, Mary Mitchel",1962,93 min,"Action, Horror, Sci-Fi"
G.I. Joe: Ever Vigilant,D.J. Caruso,,2020,,"Action, Adventure, Sci-Fi"
Deadly Friend,Wes Craven,"Matthew Labyorteaux, Kristy Swanson, Michael Sharrett, Anne Twomey",1986,91 min,"Drama, Horror, Sci-Fi"
Attack of the Killer Donuts,Scott Wheeler,"Justin Ray, Kassandra Voyagis, Michael Swan, Kayla Compton",2016,98 min,"Action, Comedy, Horror"
Baby Geniuses,Bob Clark,"Kathleen Turner, Christopher Lloyd, Kim Cattrall, Peter MacNicol",1999,97 min,"Comedy, Crime, Family"
Hell Comes to Frogtown,"Donald G. Jackson, R.J. Kizer","Julius LeFlore, RCB, Roddy Piper, William Smith",1988,86 min,"Action, Comedy, Sci-Fi"
Antiviral,Brandon Cronenberg,"Caleb Landry Jones, Lisa Berry, Sarah Gadon, Malcolm McDowell",2012,108 min,"Horror, Sci-Fi, Thriller"
Brainscan,John Flynn,"Edward Furlong, Frank Langella, T. Ryder Smith, Amy Hargreaves",1994,96 min,"Comedy, Horror, Sci-Fi"
Time Traveller,Roland Joffé,"Josh Hartnett, Bipasha Basu, Tamsin Egerton, James Mackay",2013,109 min,"Action, Adventure, Romance"
OtherLife,Ben C. Lucas,"Jessica De Gouw, Shalom Brune-Franklin, Thomas Cocquerel, T.J. Power",2017,96 min,"Crime, Mystery, Sci-Fi"
Nowhere,Gregg Araki,"James Duval, Rachel True, Nathan Bexton, Chiara Mastroianni",1997,82 min,"Comedy, Drama, Sci-Fi"
The Final Countdown,Don Taylor,"Kirk Douglas, Martin Sheen, Katharine Ross, James Farentino",1980,103 min,"Action, Sci-Fi"
Minotaur,Jonathan English,"Tom Hardy, Michelle Van Der Water, Tony Todd, Lex Shrapnel",2006,93 min,"Action, Adventure, Fantasy"
Encounter,Paul Salamoff,"Luke Hemsworth, Anna Hutchison, Cheryl Texiera, Tom Atkins",2018,89 min,Sci-Fi
Bride of Frankenstein,James Whale,"Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson",1935,75 min,"Drama, Horror, Sci-Fi"
Curvature,Diego Hallivis,"Linda Hamilton, Lyndsy Fonseca, Glenn Morshower, Noah Bean",2017,90 min,"Mystery, Sci-Fi, Thriller"
John Dies at the End,Don Coscarelli,"Chase Williamson, Rob Mayes, Paul Giamatti, Clancy Brown",2012,99 min,"Comedy, Horror, Sci-Fi"
The Directive,Alexander Raye Pimentel,"Kyle Abraham, Paul Askedall, Scott Thompson, Nicholas Winand",2019,113 min,"Action, Adventure, Sci-Fi"
Captain America,Albert Pyun,"Matt Salinger, Ronny Cox, Ned Beatty, Darren McGavin",1990,97 min,"Action, Adventure, Sci-Fi"
Upstream Color,Shane Carruth,"Amy Seimetz, Frank Mosley, Shane Carruth, Andrew Sensenig",2013,96 min,"Drama, Sci-Fi"
Jonathan,Bill Oliver,"Ansel Elgort, Suki Waterhouse, Patricia Clarkson, Matt Bomer",2018,95 min,"Drama, Sci-Fi"
Resident Evil: Retribution,Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer",2012,95 min,"Action, Horror, Sci-Fi"
Supergirl,Jeannot Szwarc,"Helen Slater, Faye Dunaway, Peter O'Toole, Hart Bochner",1984,124 min,"Action, Adventure, Fantasy"
Clara,Akash Sherman,"Patrick J. Adams, Troian Bellisario, Will Bowes, Jennifer Dale",2018,105 min,Sci-Fi
Re-Animator,Stuart Gordon,"Jeffrey Combs, Bruce Abbott, Barbara Crampton, David Gale",1985,105 min,"Comedy, Horror, Sci-Fi"
Forbidden Planet,Fred M. Wilcox,"Walter Pidgeon, Anne Francis, Leslie Nielsen, Warren Stevens",1956,98 min,"Action, Adventure, Sci-Fi"
Enemy Mine,Wolfgang Petersen,"Dennis Quaid, Louis Gossett Jr., Brion James, Richard Marcus",1985,108 min,"Action, Adventure, Drama"
The Day the Earth Stood Still,Scott Derrickson,"Keanu Reeves, Jennifer Connelly, Kathy Bates, Jaden Smith",2008,104 min,"Drama, Sci-Fi, Thriller"
Self/less,Tarsem Singh,"Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley",2015,117 min,"Action, Mystery, Sci-Fi"
Cold Skin,Xavier Gens,"Ray Stevenson, David Oakes, Aura Garrido, Winslow M. Iwaki",2017,108 min,"Adventure, Horror, Sci-Fi"
The Night of the Hunted,Jean Rollin,"Brigitte Lahaie, Vincent Gardère, Dominique Journet, Bernard Papineau",1980,87 min,"Drama, Horror, Mystery"
Riot Girls,Jovanka Vuckovic,"Madison Iseman, Carson MacCormac, Paloma Kwiatkowski, Evan Marsh",2019,,"Action, Sci-Fi"
Vampire Hunter D,Toyoo Ashida,"Kaneto Shiozawa, Michie Tomizawa, Seizô Katô, Satoko Kifuji",1985,80 min,"Animation, Action, Fantasy"
Repeaters,Carl Bessai,"Dustin Milligan, Amanda Crew, Richard de Klerk, Alexia Fast",2010,89 min,"Action, Crime, Drama"
The Children,Max Kalmanowicz,"Martin Shakar, Gil Rogers, Gale Garnett, Shannon Bolin",1980,93 min,"Horror, Sci-Fi"
Superman,"Spencer Gordon Bennet, Thomas Carr","Kirk Alyn, Noel Neill, Tommy Bond, Carol Forman",1948,244 min,Sci-Fi
The Invisible Man,Leigh Whannell,Elisabeth Moss,,,"Action, Drama, Horror"
The Butterfly Effect 3: Revelations,Seth Grossman,"Chris Carmack, Rachel Miner, Melissa Jones, Kevin Yon",2009,90 min,"Crime, Sci-Fi, Thriller"
Silent Rage,Michael Miller,"Chuck Norris, Ron Silver, Steven Keats, Toni Kalem",1982,103 min,"Action, Crime, Horror"
When Dinosaurs Ruled the Earth,Val Guest,"Victoria Vetri, Robin Hawdon, Patrick Allen, Drewe Henley",1970,96 min,"Adventure, Fantasy, Romance"
The Meg 2,,,,,Sci-Fi
Blame!,Hiroyuki Seshita,"Takahiro Sakurai, Kana Hanazawa, Sora Amamiya, Mamoru Miyano",2017,106 min,"Animation, Action, Drama"
Battle Drone,Mitch Gould,"Dominique Swain, Michael Paré, Natassia Malthe, Louis Mandylor",2018,93 min,"Action, Sci-Fi"
Impostor,Gary Fleder,"Shane Brolly, Vincent D'Onofrio, Gary Sinise, Madeleine Stowe",2001,95 min,"Drama, Mystery, Sci-Fi"
King Kong vs. Godzilla,Ishirô Honda,"Tadao Takashima, Kenji Sahara, Yû Fujiki, Ichirô Arishima",1962,91 min,"Action, Adventure, Fantasy"
The Quiet Earth,Geoff Murphy,"Bruno Lawrence, Alison Routledge, Pete Smith, Anzac Wallace",1985,91 min,"Drama, Mystery, Sci-Fi"
Dr. Jekyll and Mr. Hyde,Rouben Mamoulian,"Fredric March, Miriam Hopkins, Rose Hobart, Holmes Herbert",1931,98 min,"Horror, Sci-Fi"
Here Alone,Rod Blackhurst,"Lucy Walters, Gina Piersanti, Adam David Thompson, Shane West",2016,98 min,"Drama, Horror, Sci-Fi"
Forever Young,Steve Miner,"Mel Gibson, Jamie Lee Curtis, Elijah Wood, Isabel Glasser",1992,102 min,"Drama, Romance, Sci-Fi"
RocketMan,Stuart Gillard,"Harland Williams, Jessica Lundy, William Sadler, Jeffrey DeMunn",1997,95 min,"Comedy, Family, Sci-Fi"
The Colony,Jeff Renfroe,"Kevin Zegers, Laurence Fishburne, Bill Paxton, Charlotte Sullivan",2013,95 min,"Action, Horror, Sci-Fi"
Angry Video Game Nerd: The Movie,"Kevin Finn, James Rolfe","James Rolfe, Jeremy Suarez, Sarah Glendening, Bobby Reed",2014,115 min,"Adventure, Comedy, Sci-Fi"
The Humanity Bureau,Rob W. King,"Nicolas Cage, Sarah Lind, Jakob Davies, Hugh Dillon",2017,95 min,"Action, Adventure, Sci-Fi"
Screamers,Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer",1995,108 min,"Horror, Sci-Fi, Thriller"
Code Geass: Re;Surrection,Gorô Taniguchi,"Johnny Yong Bosch, Yuri Lowenthal, Kate Higgins, Rebecca Forstadt",2019,,"Animation, Action, Adventure"
"Honey, I Blew Up the Kid",Randal Kleiser,"Rick Moranis, Marcia Strassman, Robert Oliveri, Daniel Shalikar",1992,89 min,"Adventure, Comedy, Family"
Mars Needs Moms,Simon Wells,"Seth Green, Joan Cusack, Dan Fogler, Elisabeth Harnois",2011,88 min,"Animation, Adventure, Family"
The Zero Theorem,Terry Gilliam,"Christoph Waltz, Lucas Hedges, Mélanie Thierry, David Thewlis",2013,107 min,"Comedy, Drama, Fantasy"
Fullmetal Alchemist,Fumihiko Sori,"Ryôsuke Yamada, Tsubasa Honda, Dean Fujioka, Ryûta Satô",2017,135 min,"Action, Adventure, Fantasy"
Seven in Heaven,Chris Eigeman,"Travis Tope, Haley Ramm, Dylan Everett, Jake Manley",2018,94 min,"Horror, Sci-Fi"
Zoom,Peter Hewitt,"Tim Allen, Courteney Cox, Chevy Chase, Spencer Breslin",2006,83 min,"Action, Adventure, Comedy"
Penguins of Madagascar,"Eric Darnell, Simon J. Smith","Tom McGrath, Chris Miller, Christopher Knights, Conrad Vernon",2014,92 min,"Animation, Adventure, Comedy"
Pulse,Jim Sonzero,"Kristen Bell, Rick Gonzalez, Christina Milian, Ian Somerhalder",2006,90 min,"Horror, Sci-Fi"
Critters 2,Mick Garris,"Scott Grimes, Liane Curtis, Terrence Mann, Don Keith Opper",1988,86 min,"Comedy, Horror, Sci-Fi"
Final Fantasy: The Spirits Within,"Hironobu Sakaguchi, Motonori Sakakibara","Alec Baldwin, Steve Buscemi, Ming-Na Wen, Ving Rhames",2001,106 min,"Animation, Action, Adventure"
A Boy and His Dog,L.Q. Jones,"Don Johnson, Jason Robards, Susanne Benton, Tim McIntire",1975,91 min,"Comedy, Drama, Sci-Fi"
The Nest,Terence H. Winkless,"Robert Lansing, Lisa Langlois, Franc Luz, Terri Treas",1988,89 min,"Horror, Sci-Fi"
The Nutty Professor,Jerry Lewis,"Jerry Lewis, Stella Stevens, Del Moore, Kathleen Freeman",1963,107 min,"Comedy, Romance, Sci-Fi"
Scorched Earth,Peter Howitt,"Gina Carano, Ryan Robbins, John Hannah, Dean Jagger",2018,96 min,"Action, Sci-Fi"
Tank 432,Nick Gillespie,"Rupert Evans, Steve Garry, Deirdre Mullins, Michael Smiley",2015,88 min,"Action, Horror, Mystery"
TerrorVision,Ted Nicolaou,"Diane Franklin, Mary Woronov, Gerrit Graham, Chad Allen",1986,83 min,"Comedy, Horror, Sci-Fi"
F.R.E.D.I.,Sean Olson,"Kelly Hu, Angus Macfadyen, Candace Cameron Bure, Lucius Hoyos",2018,90 min,"Adventure, Family, Sci-Fi"
Realive,Mateo Gil,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward",2016,112 min,"Drama, Sci-Fi"
The Silencers,Phil Karlson,"Dean Martin, Stella Stevens, Daliah Lavi, Victor Buono",1966,102 min,"Action, Adventure, Comedy"
Stake Land,Jim Mickle,"Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones",2010,98 min,"Drama, Horror, Sci-Fi"
Extracted,Nir Paniry,"Sasha Roiz, Jenny Mollen, Dominic Bogart, Richard Riehle",2012,85 min,"Drama, Sci-Fi"
Violentia,Ray Raghavan,"David Lewis, Emily Holmes, Mackenzie Gray, Tammy Gillis",2018,85 min,"Drama, Sci-Fi"
The Box,Richard Kelly,"Cameron Diaz, James Marsden, Frank Langella, James Rebhorn",2009,115 min,"Drama, Fantasy, Mystery"
The Rover,David Michôd,"Guy Pearce, Robert Pattinson, Scoot McNairy, David Field",2014,103 min,"Action, Crime, Drama"
Timecrimes,Nacho Vigalondo,"Karra Elejalde, Candela Fernández, Bárbara Goenaga, Nacho Vigalondo",2007,92 min,"Horror, Mystery, Sci-Fi"
K-PAX,Iain Softley,"Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard",2001,120 min,"Drama, Sci-Fi"
Virtuosity,Brett Leonard,"Denzel Washington, Russell Crowe, Kelly Lynch, Stephen Spinella",1995,106 min,"Action, Crime, Sci-Fi"
The Arrival,David Twohy,"Charlie Sheen, Lindsay Crouse, Richard Schiff, Shane",1996,115 min,"Sci-Fi, Thriller"
Underdog,Frederik Du Chau,"Peter Dinklage, Jason Lee, Amy Adams, Jim Belushi",2007,84 min,"Action, Adventure, Comedy"
X: The Man with the X-Ray Eyes,Roger Corman,"Ray Milland, Diana Van der Vlis, Harold J. Stone, John Hoyt",1963,79 min,"Horror, Sci-Fi, Thriller"
The Unthinkable,Victor Danell,"Christoffer Nordenrot, Lisa Henni, Jesper Barkselius, Pia Halvorsen",2018,129 min,"Action, Romance, Sci-Fi"
Darkman,Sam Raimi,"Liam Neeson, Frances McDormand, Colin Friels, Larry Drake",1990,96 min,"Action, Crime, Sci-Fi"
Johnny Mnemonic,Robert Longo,"Keanu Reeves, Dolph Lundgren, Dina Meyer, Ice-T",1995,96 min,"Action, Drama, Sci-Fi"
Solaris,Steven Soderbergh,"George Clooney, Natascha McElhone, Ulrich Tukur, Viola Davis",2002,99 min,"Drama, Mystery, Romance"
Galaxy of Terror,Bruce D. Clark,"Edward Albert, Erin Moran, Ray Walston, Bernard Behrens",1981,81 min,"Action, Adventure, Horror"
Division 19,S.A. Halewood,"Linus Roache, Alison Doody, Lotte Verbeek, Clarke Peters",2017,93 min,"Action, Sci-Fi, Thriller"
Star Trek: Insurrection,Jonathan Frakes,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",1998,103 min,"Action, Adventure, Sci-Fi"
Westworld,Michael Crichton,"Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold",1973,88 min,"Action, Sci-Fi, Thriller"
King Kong,"Merian C. Cooper, Ernest B. Schoedsack","Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher",1933,100 min,"Adventure, Horror, Sci-Fi"
The Fourth Kind,Olatunde Osunsanmi,"Milla Jovovich, Elias Koteas, Will Patton, Hakeem Kae-Kazim",2009,98 min,"Mystery, Sci-Fi, Thriller"
The Discovery,Charlie McDowell,"Robert Redford, Mary Steenburgen, Brian McCarthy, Jason Segel",2017,102 min,"Drama, Romance, Sci-Fi"
The Three-Body Problem: I,Fanfan Zhang,"Shaofeng Feng, Jingchu Zhang, Gang Wu, Yan Tang",,,"Mystery, Sci-Fi, Thriller"
Right at Your Door,Chris Gorak,"Mary McCormack, Rory Cochrane, Tony Perez, Scotty Noyd Jr.",2006,96 min,"Drama, Sci-Fi, Thriller"
Man's Best Friend,John Lafia,"Ally Sheedy, Lance Henriksen, Robert Costanzo, Fredric Lehne",1993,87 min,"Comedy, Horror, Sci-Fi"
Lazer Team,Matt Hullum,"Burnie Burns, Gavin Free, Michael Jones, Colton Dunn",2015,102 min,"Action, Comedy, Sci-Fi"
Things to Come,William Cameron Menzies,"Raymond Massey, Edward Chapman, Ralph Richardson, Margaretta Scott",1936,100 min,"Drama, Sci-Fi, War"
Dracula 3000,Darrell Roodt,"Casper Van Dien, Erika Eleniak, Coolio, Alexandra Kamp",2004,86 min,"Horror, Sci-Fi"
4:44 Last Day on Earth,Abel Ferrara,"Willem Dafoe, Shanyn Leigh, Natasha Lyonne, Paul Hipp",2011,82 min,"Drama, Fantasy, Sci-Fi"
Lobo,Michael Bay,,,,"Action, Sci-Fi"
The People That Time Forgot,Kevin Connor,"Patrick Wayne, Doug McClure, Sarah Douglas, Dana Gillespie",1977,91 min,"Adventure, Fantasy, Sci-Fi"
Banshee Chapter,Blair Erickson,"Katia Winter, Ted Levine, Michael McMillian, Corey Moosa",2013,87 min,"Horror, Sci-Fi, Thriller"
Space Probe Taurus,Leonard Katzman,"Francine York, James Brown, Baynes Barron, Russ Bender",1965,81 min,"Horror, Sci-Fi"
Atlas Shrugged: Who Is John Galt?,James Manera,"Kristoffer Polaha, Laura Regan, Rob Morrow, Peter Mackenzie",2014,99 min,"Drama, Mystery, Sci-Fi"
Horror Planet,Norman J. Warren,"Robin Clarke, Jennifer Ashley, Stephanie Beacham, Steven Grives",1981,93 min,"Horror, Sci-Fi"
TiMER,Jac Schaeffer,"Emma Caulfield Ford, Scott Holroyd, Kali Rocha, Katherine Von Till",2009,99 min,"Comedy, Drama, Romance"
Interzone,Deran Sarafian,"Bruce Abbott, Beatrice Ring, Teagan Clive, John Armstead",1989,97 min,"Action, Comedy, Sci-Fi"
Iceman,Wing-Cheong Law,"Donnie Yen, Baoqiang Wang, Shengyi Huang, Kang Yu",2014,104 min,"Action, Comedy, History"
Captain America,"Elmer Clifton, John English","Dick Purcell, Lorna Gray, Lionel Atwill, Charles Trowbridge",1944,244 min,"Action, Adventure, Sci-Fi"
Creature,William Malone,"Stan Ivar, Wendy Schaal, Lyman Ward, Robert Jaffe",1985,97 min,"Horror, Sci-Fi"
Muppets from Space,Tim Hill,"Dave Goelz, Steve Whitmire, Bill Barretta, Jerry Nelson",1999,87 min,"Adventure, Comedy, Family"
The Clinic,Darrell Wheat,"Emily Bett Rickards, Meaghan Rath, Lulu Wilson, Richard Harmon",2018,90 min,"Action, Horror, Mystery"
400 Days,Matt Osterman,"Brandon Routh, Dane Cook, Caity Lotz, Ben Feldman",2015,91 min,"Mystery, Sci-Fi, Thriller"
Summer Wars,Mamoru Hosoda,"Ryûnosuke Kamiki, Nanami Sakuraba, Mitsuki Tanimura, Takahiro Yokokawa",2009,114 min,"Animation, Action, Comedy"
CJ7,Stephen Chow,"Stephen Chow, Yuqi Zhang, Jiao Xu, Lei Huang",2008,86 min,"Comedy, Drama, Family"
Time Lapse,Bradley King,"Danielle Panabaker, Matt O'Leary, George Finn, John Rhys-Davies",2014,104 min,"Sci-Fi, Thriller"
Junior,Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella",1994,109 min,"Comedy, Romance, Sci-Fi"
The Gateway,John V. Soto,"Jacqueline McKenzie, Myles Pollard, Hayley McElhinney, Shannon Berry",2018,90 min,Sci-Fi
Wicked City,Yoshiaki Kawajiri,"Yûsaku Yara, Toshiko Fujita, Ichirô Nagai, Takeshi Aono",1987,82 min,"Animation, Fantasy, Horror"
