movie,directors,stars,year,runtime,genres
Mazinkaizer SKL ,Jun Kawagoe,"Shintarou Asanuma, 日野聪, Saori Hayami",2010, 1h 21m,"Science Fiction, Animation, Action"
"Vente a Alemania, Pepe ",Pedro Lazaga,"Alfredo Landa, José Sacristán, Tina Sáinz",1971, 1h 35m,Science Fiction
The Twelve Months of the Summer ,Richard Hobert,"Hans Mosesson, Bergljót Arnadóttir, Victoria Möllerström-Hjelm, Göran Stangertz",1988, 2h 10m,"Horror, Science Fiction, Drama, Mystery"
Murdercycle ,Thomas L. Callaway,"Charles Wesley, Cassandra Ellis, Robert Donavan, Michael Vachetti, Robert Staccardo",1999, 1h 30m,"Action, Science Fiction"
Computer Superman ,Sompote Sands,,1977, 1h 44m,Science Fiction
Halloween III: Season of the Witch ,Tommy Lee Wallace,"Tom Atkins, Stacey Nelkin, Dan O'Herlihy, Michael Currie, Ralph Strait",1982, 1h 38m,"Horror, Mystery, Science Fiction"
WALL·E ,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger",2008, 1h 38m,"Animation, Family, Science Fiction"
The Quiet Earth ,Geoff Murphy,"Bruno Lawrence, Alison Routledge, Anzac Wallace, Pete Smith, Tom Hyde",1985, 1h 31m,"Drama, Science Fiction, Thriller"
Warriors of Terra ,Robert Wilson,"Edward Furlong, Ellen Furey, Dylan Taylor, Andrew Gillies, Andrew Hachey",2006, 1h 30m,"Horror, Science Fiction"
The High Crusade ,"Holger Neuhäuser, Klaus Knoesel","John Rhys-Davies, Rick Overton, Michael Des Barres, Catherine Punch, Patrick Brymer",1994, 1h 40m,"Adventure, Fantasy, Comedy, Science Fiction"
Final Mission ,Lee Redmond,"Billy Wirth, Steve Railsback, Elizabeth Gracen, Richard Bradford, Corbin Bernsen",1994, 1h 28m,"Science Fiction, Action, Thriller"
Death Run ,Michael J. Murphy,"Rob Bartlett, Wendy Parsons, Debbi Stevens, Eddie Kirby, Patrick Olliver",1987, 1h 10m,"Action, Horror, Science Fiction"
Mock Up on Mu ,Craig Baldwin,"Damon Packard, Michelle Silva, Kalman Spelletich, Stoney Burke",2008, 1h 54m,"Comedy, Science Fiction"
The Beast of Hollow Mountain ,"Edward Nassour, Ismael Rodríguez","Guy Madison, Patricia Medina, Carlos Rivas, Mario Navarro, Pascual García Peña",1956, 1h 21m,"Horror, Science Fiction, Western"
The Thing from Another World ,Christian Nyby,"Margaret Sheridan, Kenneth Tobey, Robert Cornthwaite, Douglas Spencer, James Young",1951, 1h 27m,"Horror, Science Fiction"
The Return of Superman ,Kunt Tulgar,"Tayfun Demir, Güngör Bayrak, Yildirim Gencer, Eşref Kolçak",1979, 1h 9m,"Science Fiction, Adventure, Fantasy"
Doomwatch ,Peter Sasdy,"Ian Bannen, Judy Geeson, John Paul, George Sanders, Simon Oates",1972, 1h 32m,"Horror, Science Fiction"
The Rocket Man ,Oscar Rudolph,"Charles Coburn, Spring Byington, Anne Francis, John Agar, George Winslow",1954, 1h 19m,"Science Fiction, Comedy"
Cowboy Bebop: The Movie ,Shinichiro Watanabe,"Kouichi Yamadera, Unsho Ishizuka, Aoi Tada, Ai Kobayashi, Megumi Hayashibara",2001, 1h 55m,"Action, Animation, Science Fiction"
The Wall ,Julian Pölsler,"Martina Gedeck, Ulrike Beimpold, Karlheinz Hackl, Wolfgang Maria Bauer, Julia Gschnitzer",2012, 1h 44m,"Science Fiction, Drama"
Doomsday Machine ,"Harry Hope, Herbert J. Leder, Lee Sholem","Bobby Van, Ruta Lee, Mala Powers, James Craig, Grant Williams",1972, 1h 23m,Science Fiction
Trapped by Television ,Del Lord,"Mary Astor, Lyle Talbot, Nat Pendleton, Joyce Compton, Thurston Hall",1936, 1h 4m,"Science Fiction, Drama, Romance"
Titanoboa: Monster Snake ,Martin Kemp,"Dr. Jonathan Bloch, Alex Hastings, Dr. Jason Head, Fabiany Herrera",2012, 1h 32m,"Documentary, Science Fiction"
The Warlord: Battle for the Galaxy ,Joe Dante,"John Corbett, Carolyn McCormick, John Pyper-Ferguson, J. Madison Wright, Philip Moon",1998, 1h 37m,Science Fiction
Captain Cosmotic ,Thilo Gosejohann,"Jan Hendrik Meyer, Simon Gosejohann, Catrin Hansmerten, Wolfgang Butzlaff",1998, 1h 31m,"Comedy, Science Fiction"
The Facility ,Ian Clark,"Aneurin Barnard, Steve Evets, Jack Doolan, Emily Butterfield, Alex Reid",2012, 1h 25m,"Horror, Science Fiction"
Space Battleship Yamato 2199 Chapter 2 ,Yutaka Izubuchi,,2012, -,"Animation, Action, Science Fiction"
The Day Mars Invaded Earth ,Maury Dexter,"Kent Taylor, Marie Windsor, William Mims, Betty Beall, Lowell Brown",1963, 1h 10m,Science Fiction
The Place Promised in Our Early Days ,Makoto Shinkai,"Hidetaka Yoshioka, Masato Hagiwara, Yuuka Nanri, Unsho Ishizuka, Kazuhiko Inoue",2004, 1h 31m,"Animation, Adventure, Drama, Romance, Science Fiction"
Rage ,Züli Aladag,"Oktay Özdemir, August Zirner, Corinna Harfouch, Robert Höller, Ralph Herforth",2006, -,"Horror, Science Fiction"
Short Circuit 2 ,Kenneth Johnson,"Fisher Stevens, Michael McKean, Cynthia Gibb, Jack Weston, Tim Blaney",1988, 1h 50m,"Comedy, Family, Science Fiction, Drama"
Project Nightmare ,Donald M. Jones,"Charles Miller, Seth Foster, Elly Koslo, Harry Melching, LeRoy Hughes",1987, 1h 30m,"Horror, Science Fiction, Thriller"
Loss of Feeling ,Aleksandr Andriyevsky,"Sergei Vecheslov, Vladimir Gardin, M. Volgina, Anna Chekulaeva, Nikolai Rybnikov",1935, 1h 25m,"Fantasy, Science Fiction"
The Afterman ,Rob Van Eyck,"Luc Allaerts, Guido De Belder, Dora Raskin, Franka Ravet, Nick Van Suyt",1985, 1h 30m,Science Fiction
Dead Space: Downfall ,Chuck Patton,"Bruce Boxleitner, Kelly Hu, Jeff Bennett, Jim Cummings, Grey DeLisle",2008, 1h 14m,"Animation, Horror, Science Fiction, Thriller"
Sex Files: Alien Erotica ,Rolfe Kanefsky,"Mark Collver, William Knight, Kira Reed Lorsch, Gabriella Hall, Geno Buick",1998, 1h 39m,Science Fiction
Futurama: Bender's Game ,Dwayne Carey-Hill,"Billy West, Katey Sagal, John DiMaggio, Phil LaMarr, Lauren Tom",2008, 1h 28m,"Animation, Comedy, Science Fiction"
The Man from Earth ,Richard Schenkman,"David Lee Smith, Tony Todd, John Billingsley, Ellen Crawford, Annika Peterson",2007, 1h 27m,"Science Fiction, Drama"
Yesterday ,Rob Grant,"Graham Wardle, P. Lynn Johnson, Bill Murdoch, Mike Kovac",2009, 1h 35m,"Drama, Action, Thriller, Science Fiction"
The Rage ,Robert Kurtzman,"Andrew Divoff, Erin Brown, Ryan Hooks, Sean Serino, Rachel Scheer",2007, 1h 25m,"Horror, Science Fiction"
To Boldly Flee ,Doug Walker,"Doug Walker, Lindsay Ellis, Lewis Lovhaug, Noah Antwiler, Brad Jones",2012, 3h 29m,"Comedy, Science Fiction"
Lost in the Bermuda Triangle ,Norberto Barba,"Tom Verica, Charlotte d'Amboise, Christina Haag, Graham Beckel, Ron Canada",1998, 1h 26m,"Mystery, Science Fiction, Drama"
The Girl Who Leapt Through Time ,Mamoru Hosoda,"Riisa Naka, Takuya Ishida, Mitsutaka Itakura, Fumihiko Tachiki, Ayami Kakiuchi",2006, 1h 38m,"Fantasy, Animation, Drama, Science Fiction"
Three's A Shroud ,"Andy Edwards, Dan Brownlie, David V.G. Davies","Suzi Lorraine, Morrigan Hel, Michael Morgan-Gyekye, Eleanor James, Emily Booth",2012, 1h 17m,"Horror, Science Fiction"
War Games: The Dead Code ,Stuart Gillard,"Matt Lanter, Amanda Walsh, Gary Reineke, Colm Feore, Chuck Shamata",2008, 1h 36m,"Science Fiction, Drama, Thriller"
The Orion Loop ,Vasili Levin,"Leonid Bakshtayev, Gennadi Shkuratov, Anatoli Mateshko, Vitali Doroshenko, Lyudmila Smorodina",1980, 1h 25m,Science Fiction
Rat Scratch Fever ,Jeff Leroy,"Ford Austin, Vinnie Bilancio, Jeff Burr, Sean Cain, Andrew Crandall",2011, 1h 30m,"Science Fiction, Horror"
95ers: Time Runners ,Thomas Gomez Durham,"Alesandra Durham, Joel Bishop, Terence Goodman, Ian Paul Freeth, Chris Laird",2013, 1h 36m,"Thriller, Science Fiction"
Kamen Rider Ryuki: Episode Final ,Ryuta Tasaki,"Takamasa Suga, Satoshi Matsuda, Ryohei Odai, Takashi Hagino, Natsuki Kato",2002, 1h 18m,"Science Fiction, Action, Adventure"
Power Rangers Samurai: Clash of the Red Rangers - The Movie ,"Akihiro Noguchi, Jonathan Tzachor","Alex Heartman, Erika Fong, Hector David Jr., Najee De-Tiege, Brittany Anne Pirtle",2011, 0h 46m,"Action, Comedy, Science Fiction"
The Butterfly Effect 2 ,John R. Leonetti,"Eric Lively, Erica Durance, Dustin Milligan, Gina Holden, David Lewis",2006, 1h 35m,"Drama, Science Fiction, Thriller"
Ultimate Avengers ,"Bob Richardson, Steven E. Gordon, Curt Geda","Justin Gross, Grey DeLisle, Michael Massee, Olivia d'Abo, Marc Worden",2006, 1h 12m,"Action, Animation, Adventure, Science Fiction"
Cybernator ,Robert Rundle,"Lonnie Schuyler, Jeff Jenkins, Christina Lucia Peralta-Ramos, Jack Senior, William Smith",1991, 1h 26m,"Science Fiction, Action"
Die Rückkehr der Zeitmaschine ,Jürgen Klauß,"Klaus Schwarzkopf, Peter Pasetti, Siegfried Wischnewski, Jan Nygren, Nikolas Lansky",1984, -,"Drama, Science Fiction"
Memorize ,"Jimmy Eriksson, Eric Ramberg",,2013, 0h 7m,Science Fiction
Babylon 5: The Lost Tales - Voices in the Dark ,"J. Michael Straczynski, Sara Barnes","Bruce Boxleitner, Peter Woodward, Alan Scarfe, Teryl Rothery, Keegan MacIntosh",2007, 1h 15m,"Action, Adventure, Science Fiction"
Tokyo Gore Police ,Yoshihiro Nishimura,"Eihi Shiina, Itsuji Itao, Yukihide Benny, Jiji Bû, Ikuko Sawada",2008, 1h 50m,"Adventure, Horror, Action, Science Fiction"
Tomorrowland ,Brad Bird,"Britt Robertson, George Clooney, Raffey Cassidy, Thomas Robinson, Hugh Laurie",2015, 2h 10m,"Adventure, Family, Mystery, Science Fiction"
Dark Heaven ,Douglas Schulze,"Jon Bennett, Christina Sheldon, Jeff Boerger",2004, 1h 27m,"Science Fiction, Thriller"
Daleks' Invasion Earth: 2150 A.D. ,Gordon Flemyng,"Peter Cushing, Bernard Cribbins, Ray Brooks, Andrew Keir, Roberta Tovey",1966, 1h 21m,Science Fiction
Where the Wild Things Are ,Spike Jonze,"Max Records, Catherine Keener, Lauren Ambrose, James Gandolfini, Catherine O'Hara",2009, 1h 41m,"Family, Fantasy, Science Fiction"
Ben 10: Race Against Time ,Alex Winter,"Graham Phillips, David Franklin, Lee Majors, Christien Anholt, Tyler Patrick Jones",2008, 1h 7m,"Action, Family, Science Fiction"
The Last Days ,"David Pastor, Àlex Pastor","Quim Gutiérrez, José Coronado, Marta Etura , Leticia Dolera, Ivan Massagué",2013, 1h 40m,"Science Fiction, Adventure, Thriller"
Probe ,Russ Mayberry,"Hugh O'Brian, Elke Sommer, Burgess Meredith, Lilia Skala, Angel Tompkins",1972, 1h 40m,Science Fiction
"20,000 Leagues Under the Sea ",Richard Fleischer,"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert J. Wilke",1954, 2h 7m,"Adventure, Drama, Science Fiction, Family"
LFO ,Antonio Tublén,"Patrik Karlson, Izabella Jo Tschig, Per Löfberg, Ahnna Rasch, Lukas Loughran",2013, 1h 34m,"Drama, Science Fiction"
Madame Death ,Jaime Salvador,"Regina Torné, John Carradine, Elsa Cárdenas, Miguel Ángel Álvarez, Isela Vega",1969, 1h 25m,"Horror, Mystery, Science Fiction"
The Devil's Tomb ,Jason Connery,"Cuba Gooding Jr., Ray Winstone, Ron Perlman, Taryn Manning, Stephanie Jacobsen",2009, 1h 30m,"Action, Horror, Thriller, Science Fiction"
3G ,"Sheershak Anand, Shantanu Ray Chhibber","Neil Nitin Mukesh, Sonal Chauhan, Vishaard Sharan, Asheesh Kapur",2013, 2h 4m,"Horror, Science Fiction, Thriller"
The Secret Adventures of Tom Thumb ,Dave Borthwick,"Nick Upton, Deborah Collard, Frank Passingham",1993, 1h 1m,"Animation, Science Fiction"
Shadow Warriors ,Lamar Card,"Terry O'Quinn, Timothy Patrick Cavanaugh, Evan Lurie, Ashley Graham, Russ Tertyask",1995, 1h 29m,"Science Fiction, Action"
Falling Fire ,Daniel D'Or,"Michael Paré, Heidi von Palleske, Mackenzie Gray, Zehra Leverman, Cedric Turner",1997, 1h 36m,Science Fiction
Awaken ,Daric Loo,"Corey Sevier, Jordan Ladd, Kim Poirier, James Gleason, Ryan Alosio",2013, 1h 35m,"Drama, Romance, Science Fiction"
Doctor Mordrid ,"Charles Band, Albert Band","Jeffrey Combs, Brian Thompson, Keith Coulouris, Jay Acovone, Ritch Brinkley",1992, 1h 12m,"Fantasy, Action, Thriller, Science Fiction"
Blackadder: Back & Forth ,Paul Weiland,"Rowan Atkinson, Tony Robinson, Stephen Fry, Hugh Laurie, Tim McInnerny",1999, 0h 33m,"Comedy, History, Science Fiction"
Labou ,Greg Aronowitz,"Bryan James Kitto, Darnell Hamilton, Marissa Cuevas, Earl Scioneaux, Chris Violette",2009, 1h 35m,"Adventure, Fantasy, Drama, Action, Comedy, Science Fiction, Family"
Pandorum ,Christian Alvart,"Ben Foster, Dennis Quaid, Cam Gigandet, Antje Traue, Cung Le",2009, 1h 48m,"Action, Horror, Mystery, Science Fiction, Thriller"
The Incredible Mr. Limpet ,Arthur Lubin,"Don Knotts, Carole Cook, Jack Weston, Andrew Duggan, Larry Keating",1964, 1h 39m,"Animation, Comedy, Family, Fantasy, Science Fiction"
Visitors of the Night ,Jorge Montesi,"Markie Post, Stephen McHattie, Candace Cameron Bure, Dale Midkiff, Pam Hyatt",1995, 1h 38m,"Science Fiction, Mystery"
The Mark: Redemption ,James Chankin,"Craig Sheffer, Sonia Couling, Eric Roberts, Gary Daniels, Jolene Andersen",2013, 1h 34m,"Action, Fantasy, Science Fiction"
U.F.O. Abduction ,Dean Alioto,"Tommy Giavocchini, Patrick Kelley, Shirly McCalla, Stacey Shulman, Christine Staples",1989, 1h 5m,"Horror, Science Fiction, Thriller"
Gods of Egypt ,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Courtney Eaton, Élodie Yung",2016, 2h 7m,"Action, Adventure, Fantasy, Science Fiction"
Rejection ,Volodymyr Lert,"Сергей Бабкин, Aleksandr Bashirov, Viktoriya Bilan, Agniya Ditkovskite, Bogdan Stupka",2009, 1h 30m,"Science Fiction, Thriller, Drama"
The Desert ,Christoph Behl,"Victoria Almeida, Lautaro Delgado, Lucas Lagré, William Prociuk",2013, 1h 38m,"Science Fiction, Drama"
Vessel ,Clark Baker,"Brandon Bales, Brandy Maasch, Julie Mintz, Walter Phelan, Taylor Pigeon",2012, 0h 14m,"Horror, Science Fiction"
The Brother from Space ,Mario Gariazzo,"Martin Balsam, Agostina Belli, Silvia Tortosa, William Berger, Eduardo Fajardo",1988, 1h 30m,Science Fiction
Keroro Gunso the Super Movie 2: The Deep Sea Princess ,"Susumu Yamaguchi, Junichi Sato",,2007, 1h 17m,"Animation, Comedy, Science Fiction"
Batman: Mystery of the Batwoman ,"Tim Maltby, Curt Geda","Kevin Conroy, Tara Strong, Héctor Elizondo, Kyra Sedgwick, David Ogden Stiers",2003, 1h 14m,"Adventure, Fantasy, Animation, Action, Science Fiction, Family"
Young Ones ,Jake Paltrow,"Michael Shannon, Nicholas Hoult, Elle Fanning, Kodi Smit-McPhee, Aimee Mullins",2014, 1h 40m,"Western, Action, Drama, Science Fiction"
The Blood of Heroes ,David Webb Peoples,"Rutger Hauer, Joan Chen, Delroy Lindo, Anna Katarina, Vincent D'Onofrio",1989, 1h 40m,"Action, Adventure, Science Fiction"
Good Boy! ,John Robert Hoffman,"Molly Shannon, Liam Aiken, Matthew Broderick, Donald Faison, Cheech Marin",2003, 1h 27m,"Comedy, Family, Science Fiction"
Vader Sessions ,Steven Frailey,"James Earl Jones, Carrie Fisher, Peter Cushing, Alec Guinness",2006, 0h 10m,"Comedy, Science Fiction"
Armitage: Dual Matrix ,Katsuhito Akiyama,"Ryoka Yuzuki, Hikaru Hanada, Yuka Imai, Mitsuki Saiga, Jouji Nakata",2002, 1h 30m,"Thriller, Action, Animation, Science Fiction, Adventure"
Alien Hunter ,Ron Krauss,"James Spader, Janine Eser, John Lynch, Nikolai Binev, Leslie Stefanson",2003, 1h 40m,"Science Fiction, Action, Adventure"
The Box ,Richard Kelly,"Cameron Diaz, James Marsden, Frank Langella, Michael Zegen, James Rebhorn",2009, 1h 55m,"Thriller, Science Fiction"
The Phoenix Rises ,Drew Hall,"James Black, Adam Cardon, Catalina Soto-Aguilar, John DeLong, Anil Bajaj",2012, 1h 25m,"Thriller, Science Fiction"
An Anomaly of the Theory ,Jeremy Profe,"Corey Wright, Walter Vincent",2010, 0h 15m,"Drama, Science Fiction"
Phantom from Space ,W. Lee Wilder,"Ted Cooper, Tom Daly, Steve Acton, Burt Wenland, Lela Nelson",1953, 1h 13m,Science Fiction
Adventures with Uncle Manuelo ,Flávio Migliaccio,"Flávio Migliaccio, Odete Lara, Walter Forster, Milton Vilar, Alfredo Murphy",1971, 1h 35m,"Adventure, Science Fiction, Family"
The Mind Job ,J.J. Winlove,,2012, 0h 16m,"Comedy, Science Fiction, Romance"
Cryptic Plasm ,Brian Paulin,,2013, 1h 20m,"Horror, Fantasy, Science Fiction"
Bodacious Space Pirates: Abyss of Hyperspace ,Tatsuo Satou,"Mikako Komatsu, Kana Hanazawa, Asami Shimoda, Haruka Tomatsu, Mamiko Noto",2014, 1h 35m,"Adventure, Animation, Science Fiction"
Path of Destruction ,Stephen Furst,"Danica McKellar, Chris Pratt, Stephen Furst, Franklin Dennis Jones, David Keith",2005, 2h 0m,"TV Movie, Action, Science Fiction"
Spring ,"Justin Benson, Aaron Moorhead","Lou Taylor Pucci, Nadia Hilker, Nick Nevern, Augie Duke, Jeremy Gardner",2014, 1h 49m,"Horror, Romance, Science Fiction"
AVH: Alien vs. Hunter ,Scott Harper,"William Katt, Dedee Pfeiffer, Wittly Jourdan, Randy Mulkey, Jennifer Couch",2007, 1h 25m,"Horror, Science Fiction, Action"
First Squad: The Moment of Truth ,"Aljosha Klimov, Vladimir Zhelezniakov, Yoshiharu Ashino","Sergei Aisman, Michael Beskorovainy, Elena Chebaturkina, Damir Eldarov, Olga Golovanova",2009, 1h 13m,"Fantasy, Animation, Action, Science Fiction"
Double Dragon ,James Yukich,"Robert Patrick, Mark Dacascos, Scott Wolf, Kristina Wagner, Julia Nickson",1994, 1h 29m,"Action, Adventure, Comedy, Science Fiction"
Television Spy ,Edward Dmytryk,"William Henry, Judith Barrett, William Collier Sr., Richard Denning, John Eldredge",1939, 0h 58m,Science Fiction
Six-String Samurai ,Lance Mungia,"Jeffrey Falcon, Justin McGuire, Kim De Angelo, Stephane Gauger, Clifford Hugo",1998, 1h 31m,"Action, Adventure, Science Fiction"
The Second Renaissance Part II ,Mahiro Maeda,"Julia Fletcher, Dane A. Davis, Debi Derryberry, Jill Talley, Dwight Schultz",2003, 0h 9m,"Science Fiction, Animation"
El año de la peste ,Felipe Cazals,"Alejandro Parodi, José Carlos Ruiz, Rebeca Silva, Tito Junco, Ignacio Retes",1979, 1h 49m,"Thriller, Science Fiction, Drama"
Star Wars: Droids - The Great Heep ,,"Anthony Daniels, Long John Baldry, Winston Rekert, Graeme Campbell, Noam Zylberman",1986, 0h 48m,"Science Fiction, Animation, Family"
The Ghost of Lord Farquaad ,Simon J. Smith,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Conrad Vernon",2003, 0h 12m,"Fantasy, Animation, Comedy, Science Fiction, Family"
Supernova ,Juan Miñón,"Marta Sánchez, Javier Gurruchaga, Gabino Diego, Neus Asensi, Guillermo Montesinos",1993, -,"Science Fiction, Comedy"
Everything I Can See From Here ,"Sam Taylor, Bjorn-Erik Aschim",,2013, 0h 7m,"Animation, Science Fiction"
Demon Pond ,Takashi Miike,"Ken'ichi Endô, Masato Hagiwara, Kitarô, Ryuhei Matsuda, Ryohei Akimoto",2005, 2h 10m,"Fantasy, Science Fiction"
Jouet ,Mike Buonaiuto,"Mark Phillimore, Sophie Daly-MacKenzie",2012, 0h 7m,Science Fiction
Isolation ,Billy O'Brien,"Essie Davis, Sean Harris, Marcel Iures, Crispin Letts, John Lynch",2005, 1h 35m,"Horror, Science Fiction, Thriller"
Listen ,F.C. Rabbath,"Patrick Alverez, Carlton Barnaby",2013, 1h 35m,"Drama, Romance, Science Fiction"
Avengers Confidential: Black Widow & Punisher ,Ken'ichi Shimizu,"Miyuki Sawashiro, Tesshou Genda, Hideaki Tezuka, Hiroki Touchi, Ryuuzaburou Ootomo",2014, 1h 23m,"Animation, Science Fiction, Action"
Flytrap ,Stephen David Brooks,"Jonah Blechman, Jeremy Crutchley, Ina-Alice Kopp, Samantha Hale, Gabrielle Stone",2014, -,Science Fiction
Access Code ,Mark Sobel,"Martin Landau, Michael Ansara, Macdonald Carey, Michael Durrell, Marcia Walter",1984, 1h 28m,"Action, Adventure, Science Fiction"
The War Game ,Peter Watkins,"Michael Aspel, Kathy Staff, Peter Watkins, Peter Graham",1965, 0h 48m,"Science Fiction, Drama, War, Documentary, TV Movie"
Generation X ,Jack Sholder,"Matt Frewer, Finola Hughes, Jeremy Ratchford, Heather McComb, Randall Slavin",1996, 1h 27m,"TV Movie, Action, Fantasy, Science Fiction"
Wizards of Waverly Place: The Movie ,Lev L. Spiro,"Selena Gomez, Jake T. Austin, David Henrie, Maria Canals-Barrera, David DeLuise",2009, 1h 34m,"TV Movie, Adventure, Comedy, Drama, Family, Fantasy, Science Fiction"
Sev Trek: Pus in Boots ,John Cook,"Wally Fields, Margaret Dunlap, Jason Kempnich, Matthew Smith",2002, 0h 45m,"Science Fiction, Animation, Comedy"
Electric Dragon 80.000 V ,Gakuryū Ishii,"Tadanobu Asano, Masatoshi Nagase, Masakatsu Funaki, Yoshiki Arizono",2001, 0h 55m,"Fantasy, Drama, Science Fiction, Thriller"
Narcose ,"Guillaume Néry, Julie Gautier",Guillaume Néry,2014, 0h 13m,"Science Fiction, Fantasy"
2:22,Paul Currie,"Michiel Huisman, Teresa Palmer, Sam Reid, John Waters, Richard Davies",2017, 1h 39m,"Drama, Thriller, Romance, Science Fiction, Mystery"
Beyond Skyline ,Liam O'Donnell,"Frank Grillo, Bojana Novaković, Iko Uwais, Callan Mulvey, Antonio Fargas",2017, 1h 45m,"Action, Science Fiction"
Passengers ,Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne, Andy García",2016, 1h 56m,"Drama, Romance, Science Fiction"
Shockwave Darkside ,Jay Weisman,"Bill Sage, Sonequa Martin-Green, Meiling Melançon, Rich Ceraulo, Alexander Cendese",2014, 1h 27m,"Horror, Science Fiction, Action"
Broken Saints ,Brooke Burgess,,2006, 10h 26m,"Animation, Romance, Mystery, Science Fiction, Horror"
"Family Guy Presents: Something, Something, Something, Dark Side ",Dominic Polcino,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis, H. Jon Benjamin",2010, 0h 53m,"Animation, Comedy, Science Fiction"
Copposites ,Oliver rodger,"Rob van Vuuren, Sivuyile Ngesi, Lukhanyo Bele, Casey B. Dolan, Loyiso Gola",2012, 1h 34m,"Science Fiction, Comedy, Family"
Mark of the Astro-Zombies ,Ted V. Mikels,"Tura Satana, Liz Renay, Brinke Stevens, Sean Morelli, Anton Funtek",2004, 1h 26m,"Crime, Horror, Science Fiction"
Play-Mate of the Apes ,John Bacchus,"Erin Brown, Darian Caine, Debbie Rochon, Anoushka, Sharon Engert",2002, 1h 29m,"Science Fiction, Comedy"
Die Gstettensaga: The Rise of Echsenfriedl ,Johannes Grenzfurthner,"Stuart Freeman, Sophia Grabner, Lukas Tagwerker, Martin Auer, Jeff Ricketts",2014, 1h 12m,"Science Fiction, Comedy, Horror, Fantasy"
Tales from the Grave ,Stephanie Beaton,"Joe Estevez, Stephanie Beaton, Vinnie Bilancio, Mikul Robins, Robert Herrera",2003, 1h 58m,"Horror, Science Fiction"
Signals: A Space Adventure ,Gottfried Kolditz,"Piotr Pawłowski, Irena Karel, Yevgeni Zharikov, Gojko Mitić, Alfred Müller",1970, 1h 31m,Science Fiction
Deathsport ,"Nicholas Niciphor, Allan Arkush, Roger Corman","David Carradine, Claudia Jennings, Richard Lynch, William Smithers, Will Walker",1978, 1h 22m,"Action, Thriller, Science Fiction"
The Black Sleep ,Reginald Le Borg,"Basil Rathbone, Herbert Rudley, Patricia Blair, Akim Tamiroff, Phyllis Stanley",1956, 1h 22m,"Horror, Science Fiction"
The Snow Devils ,Antonio Margheriti,"Giacomo Rossi-Stuart, Ombretta Colli, Renato Baldini, Wilbert Bradley, Enzo Fiermonte",1967, 1h 30m,Science Fiction
The Invisible Maniac ,Adam Rifkin,"Noel Peters, Melissa Moore, Savannah, Debra Lamb, Robert R. Ross Jr.",1990, 1h 26m,"Science Fiction, Comedy, Horror"
Enoshima Prism ,Yasuhiro Yoshida,"Sota Fukushi, Shuuhei Nomura, Tsubasa Honda",2013, 1h 30m,"Comedy, Science Fiction, Fantasy"
Children of the Hunt ,Matthew B. Moore,"David Stevens, Paul Shaw, Darren Dalton, Crystal Largen, Alexander Isaiah Thomas",2009, 1h 32m,"Science Fiction, Action, Adventure"
Voo d.o.o. ,Nikola Kostrešević,"Robert Hochberger, Lovro Preprotnik, Ognjen August Biljan, Sanja Smolec, Nikola Kostrešević",2011, 0h 6m,"Science Fiction, Drama, Action"
Triggers ,Jayant R. Harnam,"Tygo Gernandt, Vincent van Ommen, Martin Swabey, Iris Hesseling",2014, -,"Action, Science Fiction"
Steps ,Zbigniew Rybczynski,"Daniel Chapman, Chase Coleman, Reed Coleman, H. Roger Daisley, Drew Dix",1987, 0h 25m,"Science Fiction, Drama, Comedy, Fantasy"
The Face of Another ,Hiroshi Teshigahara,"Tatsuya Nakadai, Machiko Kyō, Mikijiro Hira, Kyôko Kishida, Eiji Okada",1966, 2h 4m,"Drama, Science Fiction"
Charly ,Ralph Nelson,"Cliff Robertson, Claire Bloom, Lilia Skala, Leon Janney, Ruth White",1968, 1h 43m,"Drama, Romance, Science Fiction"
The tragic love story of the Homunculus ,Otto Rippert,"Aud Egede Nissen, Olaf Fønss, Friedrich Kühne, Ilsa Lersen, Theodor Loos",1916, 1h 4m,"Horror, Science Fiction"
Attack on Titan ,Shinji Higuchi,"Haruma Miura, Kiko Mizuhara, Kanata Hongo, Nanami Sakuraba, Takahiro Miura",2015, 1h 38m,"Horror, Fantasy, Drama, Action, Science Fiction"
Spark of Being ,Bill Morrison,,2010, 1h 8m,"Drama, Horror, Science Fiction"
Magus ,John Lechago,"Ron Fitzgerald, Bill Steele, Lizzy Strain, Eva Derrek, Julie Strain",2008, -,"Fantasy, Thriller, Science Fiction"
Khateeat Malak ,Yehia El Alami,,1979, 1h 49m,"Science Fiction, Fantasy"
DeGenerazione ,"Andrea Prandstraller, Alberto Taraglio, Pier Giorgio Bellocchio, Alessandro Valori, Marco Manetti, Antonio Manetti, Alex Infascelli, Asia Argento","Asia Argento, Stefano Abbati, Corrado Guzzanti, Alessandro Haber, Pierfrancesco Loche",1994, 1h 50m,"Science Fiction, Horror, Thriller"
Broken ,Adam Ciolfi,,2014, 0h 11m,"Romance, Science Fiction, Animation"
