movie,directors,stars,year,runtime,genres
Extraterrestrial Visitors ,Juan Piquer Simón,"Ian Sera, Nina Ferrer, Guillermo Antón, Susanna Bequer, Óscar Martín",1983, 1h 24m,"Horror, Science Fiction"
Day of the Dead 2: Contagium ,"James Glenn Dudelson, Ana Clavell","Laurie Baranyay, Stan Klimecko, John Freedom Henry, Justin Ipock, Julian Thomas",2005, 1h 43m,"Horror, Science Fiction"
The Rift ,Juan Piquer Simón,"Jack Scalia, R. Lee Ermey, Ray Wise, Deborah Adair, John Toles-Bey",1990, 1h 22m,"Action, Horror, Mystery, Science Fiction, Thriller"
Skyrunners ,Ralph Hemecker,"Joey Pollari, Kelly Blatz, Linda Kash, Conrad Coates, Jacqueline MacInnes Wood",2009, 1h 32m,"Comedy, Science Fiction"
Famous Monster: Forrest J Ackerman ,Michael MacDonald,"Forrest J. Ackerman, Ray Bradbury, Bobbie Bresee, Lon Chaney Jr., Lon Chaney",2007, 0h 48m,"Documentary, Horror, Science Fiction"
The Neanderthal Man ,E.A. Dupont,"Robert Shayne, Richard Crane, Joyce Terry, Doris Merrick, Tandra Quinn",1953, 1h 18m,"Horror, Science Fiction"
Galaxy of Terror ,Bruce D. Clark,"Edward Albert, Erin Moran, Ray Walston, Bernard Behrens, Zalman King",1981, 1h 21m,"Action, Adventure, Horror, Science Fiction"
Transformations ,Jay Kamen,"Rex Smith, Lisa Langlois, Patrick Macnee, Christopher Neame, Michael Hennessy",1988, 1h 24m,"Science Fiction, Horror"
Bigfoot Wars ,Brian T. Jaynes,"Judd Nelson, C. Thomas Howell, Billy Blair, David Sullivan, Taylor Weaver",2014, 1h 15m,Science Fiction
Sting of the Black Scorpion ,Stanley Yung,"Michelle Lintel, Scott Valentine, Frank Gorshin, Martin Kove, Allen Scotti",2002, 1h 24m,"Action, Science Fiction"
Visiting Van Gogh ,Horst Seemann,"Christian Grashof, Rolf Hoppe, Dagmar Patrasová, Grażyna Szapołowska, Hanns-Jörn Weber",1985, 1h 45m,"Fantasy, Science Fiction, Adventure"
Cams ,Carl-Johan Westregård,,2014, 0h 13m,"Science Fiction, Thriller"
"The Phantom from 10,000 Leagues ",Dan Milner,"Kent Taylor, Cathy Downs, Michael Whalen, Rodney Bell, Vivi Janiss",1955, 1h 20m,"Horror, Science Fiction"
Demon Sex ,Greg Lewolt,Brinke Stevens,2005, 1h 27m,Science Fiction
"Homunculus, 1. Teil ",Otto Rippert,"Fern Andra, Josef Bunzl, Maria Carmi, Aud Egede Nissen, Lia Borré",1916, 1h 9m,"Horror, Science Fiction"
Return of the Ape Man ,Phil Rosen,"Bela Lugosi, John Carradine, Frank Moran, Tod Andrews, Teala Loring",1944, 1h 8m,"Horror, Science Fiction"
"The Wild, Wild Planet ",Antonio Margheriti,"Tony Russel, Lisa Gastoni, Massimo Serato, Carlo Giustini, Franco Nero",1966, 1h 33m,Science Fiction
Harbinger Down ,Alec Gillis,"Lance Henriksen, Matt Winston, Camille Balsamo, Giovonnie Samuels, Winston James Francis",2015, 1h 22m,"Science Fiction, Horror"
What Doesn't Kill You ,Rob Grant,"Connor Jessup, Aidan Greene, Steven Love, Luisa D'Oliveira, Jez Bonham",2014, 0h 12m,"Science Fiction, Drama"
Justice League: Throne of Atlantis ,Ethan Spaulding,"Sean Astin, Rosario Dawson, Nathan Fillion, Christopher Gorham, Matt Lanter",2015, 1h 12m,"Science Fiction, Action, Animation, Adventure"
Droid Gunner ,Fred Olen Ray,"Marc Singer, Matthias Hues, Rochelle Swanson, Robin Clarke, Kin Shriner",1995, 1h 30m,"Action, Science Fiction"
The 5th Wave ,J Blakeson,"Chloë Grace Moretz, Nick Robinson, Alex Roe, Maika Monroe, Zackary Arthur",2016, 1h 52m,"Adventure, Science Fiction"
The Aerial Submarine ,Walter R. Booth,,1910, 0h 12m,Science Fiction
Phoenix 9 ,Amir Reichart,"Daniela Flynn, Paul Lange, Russell Dennis Lewis, Ryan Nelson, Corey Rieger",2014, 0h 22m,"Action, Thriller, Science Fiction"
Star Runners ,Matt King,"Connor Trinneer, James Kyson, Toni Trucks, Aja Evans, Michael Culkin",2009, 1h 28m,"TV Movie, Horror, Science Fiction"
End of the World ,Abel Gance,"Abel Gance, Colette Darfeuil, Jeanne Brindeau, Samson Fainsilber, Georges Colin",1931, 1h 45m,Science Fiction
"20,000 Leagues Under the Sea ",Stuart Paton,"Lois Alexander, Curtis Benton, Wallace Clarke, Howard Crampton, Jane Gail",1916, 1h 45m,"Adventure, Drama, Action, Science Fiction"
End of the World ,John Hayes,"Christopher Lee, Sue Lyon, Kirk Scott, Dean Jagger, Lew Ayres",1977, 1h 28m,"Fantasy, Thriller, Science Fiction"
Kingdom of the Spiders ,John 'Bud' Cardos,"William Shatner, Tiffany Bolling, Woody Strode, Lieux Dressler, David McLean",1977, 1h 37m,"Horror, Science Fiction"
Frankenstein ,Kenneth Branagh,"Robert De Niro, Kenneth Branagh, Tom Hulce, Helena Bonham Carter, Aidan Quinn",1994, 2h 3m,"Drama, Horror, Science Fiction, Romance"
Rakuen Tsuihou - Expelled from Paradise ,Seiji Mizushima,"Rie Kugimiya, Shin-ichiro Miki, Hiroshi Kamiya, Megumi Hayashibara, Minami Takayama",2014, 1h 44m,"Action, Animation, Science Fiction"
The World of George Orwell: 1984 ,Christopher Morahan,"David Buck, Joseph O'Conor, Jane Merrow",1965, 2h 0m,"Romance, Drama, Science Fiction"
Max Q: Emergency Landing ,Michael Shapiro,"Billy Campbell, Paget Brewster, Ned Vaughn, Geoffrey Blake, Tasha Smith",1998, 1h 31m,"Science Fiction, Adventure"
Gall Force 3: Stardust War ,Katsuhito Akiyama,"Hiromi Tsuru, Mayumi Shou, Minako Arakawa, Naoko Watanabe, Yuko Mizutani",1988, 1h 5m,"Action, Animation, Science Fiction"
Six Reasons Why ,"Matthew Campagna, Jeff Campagna","Dan Wooster, Mads Koudal, Christopher Harrison, Colm Feore, Jeff Campagna",2008, 1h 28m,"Action, Science Fiction, Western"
Target Earth ,Peter Markle,"Christopher Meloni, Marcia Cross, John C. McGinley, Chad Lowe, Dabney Coleman",1998, 1h 35m,"Science Fiction, Horror"
Bane ,James Eaves,"Sophia Dawnay, Lisa Devlin, Jonathan Sidgwick, Tina Barnes, Daniel Jordan",2008, 1h 44m,"Horror, Science Fiction"
On the Beach ,Russell Mulcahy,"Armand Assante, Rachel Ward, Bryan Brown, Jacqueline McKenzie, Grant Bowler",2000, 3h 15m,"Drama, Science Fiction"
"Ebirah, Horror of the Deep ",Jun Fukuda,"Akira Takarada, Kumi Mizuno, Chôtarô Tôgin, Hideo Sunazuka, Tôru Watanabe",1966, 1h 27m,"Science Fiction, Action, Fantasy"
Track of the Moon Beast ,Richard Ashe,"Chase Cordell, Leigh Drake, Gregorio Sala, Patrick Wright, Francine Kessler",1976, 1h 30m,"Horror, Science Fiction"
Dracula vs. Frankenstein ,Al Adamson,"J. Carrol Naish, Lon Chaney Jr., Anthony Eisley, Greydon Clark, Zandor Vorkov",1971, 1h 31m,"Horror, Science Fiction"
