genres,movie,directors,link,stars,year,runtime
50,Inception,Christopher Nolan,,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",2010,148 min
401,The Last Man,Rodrigo H. Vila,,"Hayden Christensen, Harvey Keitel, Marco Leonardi, Liz Solari",2018,100 min
402,Small Soldiers,Joe Dante,,"Kirsten Dunst, Gregory Smith, David Cross, Jay Mohr",1998,110 min
403,Aquaman 2,James Wan,,"Amber Heard, Jason Momoa",2022,
404,Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise",,"Michael J. Fox, Jim Varney, Corey Burton, Claudia Christian",2001,95 min
405,Gambit,,,"Lizzy Caplan, Channing Tatum",2020,
406,Lilo & Stitch,"Dean DeBlois, Chris Sanders",,"Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",2002,85 min
407,Little Shop of Horrors,Frank Oz,,"Rick Moranis, Ellen Greene, Vincent Gardenia, Levi Stubbs",1986,94 min
408,28 Weeks Later,Juan Carlos Fresnadillo,,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau",2007,100 min
409,Batman: The Killing Joke,Sam Liu,,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise",2016,76 min
410,G.I. Joe: Retaliation,Jon M. Chu,,"Dwayne Johnson, Channing Tatum, Adrianne Palicki, Byung-Hun Lee",2013,110 min
351,Bill & Ted's Bogus Journey,Peter Hewitt,,"Keanu Reeves, Alex Winter, William Sadler, Joss Ackland",1991,93 min
101,A.I. Rising,Lazar Bodroza,,"Sebastian Cavazza, Stoya, Marusa Majer, Kirsty Besterman",2018,85 min
411,The Island of Dr. Moreau,"John Frankenheimer, Richard Stanley",,"David Thewlis, Marlon Brando, Val Kilmer, Fairuza Balk",1996,96 min
412,The Titan,Lennart Ruff,,"Sam Worthington, Taylor Schilling, Tom Wilkinson, Agyness Deyn",2018,97 min
413,Dark City,Alex Proyas,,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt",1998,100 min
414,Fahrenheit 451,Ramin Bahrani,,"Michael B. Jordan, Aaron Davis, Cindy Katz, Michael Shannon",2018,100 min
415,Contact,Robert Zemeckis,,"Jodie Foster, Matthew McConaughey, Tom Skerritt, John Hurt",1997,150 min
416,Alien³,David Fincher,,"Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann",1992,114 min
417,Despicable Me 2,"Pierre Coffin, Chris Renaud",,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",2013,98 min
418,Batman vs. Teenage Mutant Ninja Turtles,Jake Castorena,,"Troy Baker, Eric Bauza, Darren Criss, Kyle Mooney",2019,
419,The Host,Andrew Niccol,,"Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger",2013,125 min
352,Star Trek II: The Wrath of Khan,Nicholas Meyer,,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",1982,113 min
353,The Adventures of Buckaroo Banzai Across the 8th Dimension,W.D. Richter,,"Peter Weller, John Lithgow, Ellen Barkin, Jeff Goldblum",1984,103 min
354,Ghost in the Shell,Mamoru Oshii,,"Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera",1995,83 min
355,Howard the Duck,Willard Huyck,,"Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale",1986,110 min
356,Star Trek Into Darkness,J.J. Abrams,,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",2013,132 min
357,Ghostbusters II,Ivan Reitman,,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",1989,108 min
