genres,movie,directors,link,stars,year,runtime
466,Mystery Men,Kinka Usher,,"Ben Stiller, Janeane Garofalo, William H. Macy, Hank Azaria",1999,121 min
467,Blade II,Guillermo del Toro,,"Wesley Snipes, Kris Kristofferson, Ron Perlman, Leonor Varela",2002,117 min
468,Sound of My Voice,Zal Batmanglij,,"Christopher Denham, Nicole Vicius, Brit Marling, Davenia McFadden",2011,85 min
469,Apollo 18,Gonzalo López-Gallego,,"Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa",2011,86 min
470,Spectral,Nic Mathieu,,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini",2016,107 min
302,"Honey, I Shrunk the Kids",Joe Johnston,,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland",1989,93 min
303,Men in Black 3,Barry Sonnenfeld,,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",2012,106 min
304,Real Genius,Martha Coolidge,,"Val Kilmer, Gabriel Jarret, Michelle Meyrink, William Atherton",1985,108 min
305,Pacific Rim,Guillermo del Toro,,"Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day",2013,131 min
306,Chaos Walking,Doug Liman,,"Tom Holland, Mads Mikkelsen, Daisy Ridley, Nick Jonas",2020,
307,Mr. Nobody,Jaco Van Dormael,,"Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham",2009,141 min
202,Gemini Man,Ang Lee,,"Mary Elizabeth Winstead, Will Smith, Douglas Hodge, Clive Owen",2019,
203,Serenity,Joss Whedon,,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk",2005,119 min
204,Bill & Ted's Excellent Adventure,Stephen Herek,,"Keanu Reeves, Alex Winter, George Carlin, Terry Camilleri",1989,90 min
205,Life Like,Josh Janowicz,,"Addison Timlin, Steven Strait, James D'Arcy, Drew Van Acker",2019,95 min
206,Minority Report,Steven Spielberg,,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",2002,145 min
207,Ghostbusters,Paul Feig,,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",2016,116 min
208,Stargate,Roland Emmerich,,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors",1994,116 min
209,Logan's Run,Michael Anderson,,"Michael York, Jenny Agutter, Richard Jordan, Roscoe Lee Browne",1976,119 min
210,Another Earth,Mike Cahill,,"Brit Marling, William Mapother, Matthew-Lee Erlbach, DJ Flava",2011,92 min
52,Blade Runner 2049,Denis Villeneuve,,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista",2017,164 min
53,The Incredible Hulk,Louis Leterrier,,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008,112 min
54,Captain America: Civil War,"Anthony Russo, Joe Russo",,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",2016,147 min
55,Incredibles 2,Brad Bird,,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",2018,118 min
56,Annihilation,Alex Garland,,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong",2018,115 min
57,Thor,Kenneth Branagh,,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",2011,115 min
58,Captain America: The Winter Soldier,"Anthony Russo, Joe Russo",,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",2014,136 min
59,Mad Max: Fury Road,George Miller,,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",2015,120 min
60,Dune,Denis Villeneuve,,"Jason Momoa, Zendaya, Josh Brolin, Rebecca Ferguson",2020,
61,The New Mutants,Josh Boone,,"Anya Taylor-Joy, Maisie Williams, Antonio Banderas, Alice Braga",2019,
471,Akira,,,,,
472,Slither,James Gunn,,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson",2006,95 min
473,Hardcore Henry,Ilya Naishuller,,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky",2015,96 min
474,Ice Age: Collision Course,"Mike Thurmeier, Galen T. Chu",,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge",2016,94 min
475,Deep Blue Sea,Renny Harlin,,"Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie",1999,105 min
476,Wild Wild West,Barry Sonnenfeld,,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek",1999,106 min
477,Leviathan,George P. Cosmatos,,"Peter Weller, Richard Crenna, Amanda Pays, Daniel Stern",1989,98 min
478,The Man from Earth,Richard Schenkman,,"David Lee Smith, Tony Todd, John Billingsley, Ellen Crawford",2007,87 min
479,Fantastic 4: Rise of the Silver Surfer,Tim Story,,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",2007,92 min
502,Red Island,Lux,,"Alex Essoe, Georgie Daburas, Tawny West, Victor Mezheritsky",2018,90 min
503,Caller ID: Entity,Eric Zimmerman,,"James Duval, Nathan Bexton, Denny Kirkwood, Roxy Saint",2018,90 min
504,Æon Flux,Karyn Kusama,,"Charlize Theron, Frances McDormand, Sophie Okonedo, Marton Csokas",2005,93 min
505,The Faculty,Robert Rodriguez,,"Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett",1998,104 min
506,Diamantino,"Gabriel Abrantes, Daniel Schmidt",,"Carloto Cotta, Cleo Tavares, Anabela Moreira, Margarida Moreira",2018,96 min
507,2,S. Shankar,,"Rajinikanth, Akshay Kumar, Amy Jackson, Adil Hussain",2018,148 min
151,The Truman Show,Peter Weir,,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich",1998,103 min
251,RoboCop,Paul Verhoeven,,"Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox",1987,102 min
551,Repo Men,Miguel Sapochnik,,"Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber",2010,111 min
308,Sunshine,Danny Boyle,,"Cillian Murphy, Rose Byrne, Chris Evans, Cliff Curtis",2007,107 min
309,Source Code,Duncan Jones,,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright",2011,93 min
310,G.I. Joe: The Rise of Cobra,Stephen Sommers,,"Dennis Quaid, Channing Tatum, Marlon Wayans, Adewale Akinnuoye-Agbaje",2009,118 min
311,Star Trek: The Motion Picture,Robert Wise,,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",1979,132 min
312,Battleship,Peter Berg,,"Alexander Skarsgård, Brooklyn Decker, Liam Neeson, Rihanna",2012,131 min
313,Riddick,David Twohy,,"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà",2013,119 min
314,Star Wars: Episode II - Attack of the Clones,George Lucas,,"Hayden Christensen, Natalie Portman, Ewan McGregor, Christopher Lee",2002,142 min
315,The Road Warrior,George Miller,,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps",1981,94 min
316,A.I. Artificial Intelligence,Steven Spielberg,,"Haley Joel Osment, Jude Law, Frances O'Connor, Sam Robards",2001,146 min
317,Stalker,Andrei Tarkovsky,,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko",1979,162 min
318,Event Horizon,Paul W.S. Anderson,,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson",1997,96 min
211,The Abyss,James Cameron,,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester",1989,145 min
212,Looper,Rian Johnson,,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",2012,113 min
213,Adventures of Captain Marvel,"John English, William Witney",,"Tom Tyler, Frank Coghlan Jr., William 'Billy' Benedict, Louise Currie",1941,216 min
214,The Amazing Spider-Man 2,Marc Webb,,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",2014,142 min
215,Gravity,Alfonso Cuarón,,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",2013,91 min
216,Superlopez,Javier Ruiz Caldera,,"Dani Rovira, Alexandra Jiménez, Julián López, Maribel Verdú",2018,108 min
217,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1980,124 min
218,Pacific Rim: Uprising,Steven S. DeKnight,,"John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman",2018,111 min
219,Flash Gordon,Mike Hodges,,"Sam J. Jones, Melody Anderson, Max von Sydow, Topol",1980,111 min
62,The Fifth Element,Luc Besson,,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm",1997,126 min
63,X-Men: Apocalypse,Bryan Singer,,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",2016,144 min
64,Jurassic Park,Steven Spielberg,,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",1993,127 min
65,Passengers,Morten Tyldum,,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne",2016,116 min
66,A Clockwork Orange,Stanley Kubrick,,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",1971,136 min
67,Ant-Man,Peyton Reed,,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",2015,117 min
68,Watchmen,Zack Snyder,,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman",2009,162 min
69,Her,Spike Jonze,,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara",2013,126 min
480,The Time Traveler's Wife,Robert Schwentke,,"Eric Bana, Rachel McAdams, Ron Livingston, Michelle Nolden",2009,107 min
481,The Wraith,Mike Marvin,,"Charlie Sheen, Nick Cassavetes, Sherilyn Fenn, Randy Quaid",1986,93 min
482,Underworld: Evolution,Len Wiseman,,"Kate Beckinsale, Scott Speedman, Bill Nighy, Tony Curran",2006,106 min
483,The Lazarus Effect,David Gelb,,"Olivia Wilde, Mark Duplass, Evan Peters, Sarah Bolger",2015,83 min
484,Reign of the Supermen,Sam Liu,,"Jerry O'Connell, Rebecca Romijn, Rainn Wilson, Patrick Fabian",2019,87 min
485,AVP: Alien vs. Predator,Paul W.S. Anderson,,"Sanaa Lathan, Lance Henriksen, Raoul Bova, Ewen Bremner",2004,101 min
486,The Spirit,Frank Miller,,"Gabriel Macht, Samuel L. Jackson, Scarlett Johansson, Jaime King",2008,103 min
508,Frankenweenie,Tim Burton,,"Winona Ryder, Catherine O'Hara, Martin Short, Martin Landau",2012,87 min
509,The Adjustment Bureau,George Nolfi,,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner",2011,106 min
510,R.I.P.D.,Robert Schwentke,,"Ryan Reynolds, Jeff Bridges, Mary-Louise Parker, Kevin Bacon",2013,96 min
511,Into the Forest,Patricia Rozema,,"Ellen Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie",2015,101 min
512,Future World,"James Franco, Bruce Thierry Cheung",,"James Franco, Suki Waterhouse, Jeffrey Wahlberg, Margarita Levieva",2018,90 min
513,Midnight Special,Jeff Nichols,,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver",2016,112 min
152,X-Men,Bryan Singer,,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen",2000,104 min
153,Cube,Vincenzo Natali,,"Nicole de Boer, Maurice Dean Wint, David Hewlett, Andrew Miller",1997,90 min
154,Edge of Tomorrow,Doug Liman,,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",2014,113 min
155,Independence Day,Roland Emmerich,,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell",1996,145 min
156,The 5th Wave,J Blakeson,,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",2016,112 min
252,Ender's Game,Gavin Hood,,"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin",2013,114 min
253,WarGames,John Badham,,"Matthew Broderick, Ally Sheedy, John Wood, Dabney Coleman",1983,114 min
254,Planet of the Apes,Tim Burton,,"Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan",2001,119 min
255,Deep Impact,Mimi Leder,,"Robert Duvall, Téa Leoni, Elijah Wood, Morgan Freeman",1998,120 min
552,Mad Max: The Wasteland,George Miller,,"Tom Hardy, Ahmed Adel",,
553,Krull,Peter Yates,,"Ken Marshall, Lysette Anthony, Freddie Jones, Francesca Annis",1983,121 min
554,Live Die Repeat and Repeat,Doug Liman,,"Emily Blunt, Tom Cruise",,
555,Rupture,Steven Shainberg,,"Noomi Rapace, Michael Chiklis, Kerry Bishé, Peter Stormare",2016,102 min
556,Attack the Block,Joe Cornish,,"John Boyega, Jodie Whittaker, Alex Esmail, Leeon Jones",2011,88 min
319,The Wandering Earth,Frant Gwo,,"Jing Wu, Chuxiao Qu, Guangjie Li, Man-Tat Ng",2019,125 min
320,Fantastic Four,Tim Story,,"Ioan Gruffudd, Michael Chiklis, Chris Evans, Jessica Alba",2005,106 min
321,They Live,John Carpenter,,"Roddy Piper, Keith David, Meg Foster, George 'Buck' Flower",1988,94 min
322,Aniara,"Pella Kagerman, Hugo Lilja",,"Emelie Jonsson, Bianca Cruzeiro, Arvin Kananian, Anneli Martini",2018,106 min
323,The League of Extraordinary Gentlemen,Stephen Norrington,,"Sean Connery, Stuart Townsend, Peta Wilson, Jason Flemyng",2003,110 min
220,The Hunger Games: Catching Fire,Francis Lawrence,,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",2013,146 min
221,Untitled Ghostbusters Project,Jason Reitman,,"Mckenna Grace, Carrie Coon, Finn Wolfhard",2020,
222,The Eternals,Chloé Zhao,,"Angelina Jolie, Kumail Nanjiani",,
223,Idiocracy,Mike Judge,,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews",2006,84 min
224,Twilight Zone: The Movie,"Joe Dante, John Landis, George Miller, Steven Spielberg",,"Dan Aykroyd, Albert Brooks, Vic Morrow, Doug McGrath",1983,101 min
70,Deadpool,Tim Miller,,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",2016,108 min
71,Batman v Superman: Dawn of Justice,Zack Snyder,,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",2016,151 min
72,Back to the Future,Robert Zemeckis,,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",1985,116 min
73,Doctor Strange,Scott Derrickson,,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",2016,115 min
487,Priest,Scott Stewart,,"Paul Bettany, Cam Gigandet, Maggie Q, Karl Urban",2011,87 min
488,The Purge: Anarchy,James DeMonaco,,"Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez",2014,103 min
489,Battlefield Earth,Roger Christian,,"John Travolta, Forest Whitaker, Barry Pepper, Kim Coates",2000,118 min
490,Escape Plan,Mikael Håfström,,"Sylvester Stallone, Arnold Schwarzenegger, 50 Cent, Vincent D'Onofrio",2013,115 min
514,Equilibrium,Kurt Wimmer,,"Christian Bale, Sean Bean, Emily Watson, Taye Diggs",2002,107 min
515,Kung Fury 2,David Sandberg,,"Michael Fassbender, Arnold Schwarzenegger, Eiza González, David Hasselhoff",,
516,Star Trek: First Contact,Jonathan Frakes,,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",1996,111 min
157,Donnie Darko,Richard Kelly,,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne",2001,113 min
158,Cloud Atlas,"Tom Tykwer, Lana Wachowski, Lilly Wachowski",,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",2012,172 min
159,Valerian and the City of a Thousand Planets,Luc Besson,,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",2017,137 min
160,The House with a Clock in Its Walls,Eli Roth,,"Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan",2018,105 min
256,Moon,Duncan Jones,,"Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw",2009,97 min
257,Armageddon,Michael Bay,,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler",1998,151 min
258,Mute,Duncan Jones,,"Alexander Skarsgård, Paul Rudd, Justin Theroux, Levi Eisenblätter",2018,126 min
557,The Last Boy,Perry Bhandal,,"Luke Goss, Flynn Allen, Peter Guinness, Matilda Freeman",2019,87 min
558,Predator 2,Stephen Hopkins,,"Danny Glover, Gary Busey, Kevin Peter Hall, Rubén Blades",1990,108 min
559,Speed Racer,"Lana Wachowski, Lilly Wachowski",,"Emile Hirsch, Matthew Fox, Christina Ricci, Nicholas Elia",2008,135 min
560,The Dead Zone,David Cronenberg,,"Christopher Walken, Brooke Adams, Tom Skerritt, Herbert Lom",1983,103 min
324,The Darkest Minds,Jennifer Yuh Nelson,,"Amandla Stenberg, Mandy Moore, Bradley Whitford, Harris Dickinson",2018,104 min
325,Journey 2: The Mysterious Island,Brad Peyton,,"Josh Hutcherson, Dwayne Johnson, Michael Caine, Luis Guzmán",2012,94 min
326,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney",2016,112 min
327,The Wolverine,James Mangold,,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",2013,126 min
328,Morbius,Daniel Espinosa,,"Adria Arjona, Jared Leto, Matt Smith, Jared Harris",2020,
225,Fantastic Four,Josh Trank,,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",2015,100 min
226,Big Hero 6,"Don Hall, Chris Williams",,"Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller",2014,102 min
227,X-Men: The Last Stand,Brett Ratner,,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen",2006,104 min
228,Back to the Future Part II,Robert Zemeckis,,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",1989,108 min
74,Iron Man 2,Jon Favreau,,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle",2010,124 min
75,Iron Man 3,Shane Black,,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle",2013,130 min
76,The Hunger Games,Gary Ross,,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci",2012,142 min
77,Hotel Artemis,Drew Pearce,,"Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown",2018,94 min
78,The Suicide Squad,James Gunn,,"Margot Robbie, Idris Elba, Jared Leto, Jai Courtney",2021,
79,Avatar,James Cameron,,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",2009,162 min
491,Dragonball: Evolution,James Wong,,"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum",2009,85 min
492,Resident Evil: Apocalypse,Alexander Witt,,"Milla Jovovich, Sienna Guillory, Eric Mabius, Oded Fehr",2004,94 min
493,Alien Warfare,Jeremiah Jones,,"Clayton Snyder, David Meadows, Daniel Washington, Scott C. Roe",2019,88 min
494,The Return of the Living Dead,Dan O'Bannon,,"Clu Gulager, James Karen, Don Calfa, Thom Mathews",1985,91 min
495,Pitch Black,David Twohy,,"Radha Mitchell, Cole Hauser, Vin Diesel, Keith David",2000,109 min
517,A Scanner Darkly,Richard Linklater,,"Keanu Reeves, Winona Ryder, Robert Downey Jr., Rory Cochrane",2006,100 min
518,Heavy Metal,"Gerald Potterton, John Bruno, John Halas, Julian Harris, Jimmy T. Murakami, Barrie Nelson, Paul Sabella, Jack Stokes, Pino Van Lamsweerde, Harold Whitaker",,"Richard Romanus, John Candy, Joe Flaherty, Don Francks",1981,86 min
519,Treasure Planet,"Ron Clements, John Musker",,"Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne",2002,95 min
520,Zoe,Drake Doremus,,"Ewan McGregor, Léa Seydoux, Theo James, Rashida Jones",2018,104 min
161,Tinker',Sonny Marler,,"Clayne Crawford, Christian Kane, Wilmer Calderon, Colt Crawford",2018,97 min
162,Aliens,James Cameron,,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",1986,137 min
163,Starship Troopers,Paul Verhoeven,,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey",1997,129 min
164,Bill & Ted Face the Music,Dean Parisot,,"Keanu Reeves, William Sadler, Alex Winter",2020,
165,Maze Runner: The Death Cure,Wes Ball,,"Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster",2018,143 min
259,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2015,137 min
260,The Maze Runner,Wes Ball,,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",2014,113 min
261,Transformers: Age of Extinction,Michael Bay,,"Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci",2014,165 min
561,Soylent Green,Richard Fleischer,,"Charlton Heston, Edward G. Robinson, Leigh Taylor-Young, Chuck Connors",1973,97 min
562,Paul,Greg Mottola,,"Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard",2011,104 min
563,Fire in the Sky,Robert Lieberman,,"D.B. Sweeney, Robert Patrick, Craig Sheffer, Peter Berg",1993,109 min
329,Anon,Andrew Niccol,,"Clive Owen, Afiya Bennett, Morgan Allen, Jeffrey Men",2018,100 min
330,The Hitchhiker's Guide to the Galaxy,Garth Jennings,,"Martin Freeman, Yasiin Bey, Sam Rockwell, Zooey Deschanel",2005,109 min
331,Resident Evil: The Final Chapter,Paul W.S. Anderson,,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",2016,107 min
229,The Butterfly Effect,"Eric Bress, J. Mackye Gruber",,"Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson",2004,113 min
230,Spider-Man 2,Sam Raimi,,"Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco",2004,127 min
231,In Time,Andrew Niccol,,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde",2011,109 min
232,Geostorm,Dean Devlin,,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",2017,109 min
80,The Predator,Shane Black,,"Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key",2018,107 min
81,Star Wars: Episode VIII - The Last Jedi,Rian Johnson,,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher",2017,152 min
82,Transformers: The Last Knight,Michael Bay,,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",2017,154 min
83,Dune,David Lynch,,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino",1984,137 min
496,Real Steel,Shawn Levy,,"Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie",2011,127 min
497,Death Race,Paul W.S. Anderson,,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane",2008,105 min
498,Pandorum,Christian Alvart,,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue",2009,108 min
499,Cowboys & Aliens,Jon Favreau,,"Daniel Craig, Harrison Ford, Olivia Wilde, Abigail Spencer",2011,119 min
521,Jason X,James Isaac,,"Kane Hodder, Lexa Doig, Jeff Geddis, David Cronenberg",2001,91 min
522,Spy Kids 4-D: All the Time in the World,Robert Rodriguez,,"Jessica Alba, Jeremy Piven, Joel McHale, Rowan Blanchard",2011,89 min
523,Zapped!,Robert J. Rosenthal,,"Scott Baio, Willie Aames, Robert Mandan, Felice Schachter",1982,98 min
524,Blast from the Past,Hugh Wilson,,"Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek",1999,112 min
166,Vanilla Sky,Cameron Crowe,,"Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell",2001,136 min
167,Star Trek Beyond,Justin Lin,,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",2016,122 min
168,Star Wars: Episode I - The Phantom Menace,George Lucas,,"Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd",1999,136 min
169,The Matrix Reloaded,"Lana Wachowski, Lilly Wachowski",,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",2003,138 min
262,Mortal Kombat,Paul W.S. Anderson,,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",1995,101 min
263,War for the Planet of the Apes,Matt Reeves,,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",2017,140 min
264,Men in Black II,Barry Sonnenfeld,,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle",2002,88 min
265,10 Cloverfield Lane,Dan Trachtenberg,,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",2016,103 min
564,The Iron Giant,Brad Bird,,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel",1999,86 min
565,Chimera Strain,Maurice Haeems,,"Henry Ian Cusick, Kathleen Quinlan, Erika Ervin, Jenna Harrison",2018,80 min
566,Next,Lee Tamahori,,"Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann",2007,96 min
567,"Dude, Where's My Car?",Danny Leiner,,"Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff",2000,83 min
332,Insurgent,Robert Schwentke,,"Shailene Woodley, Ansel Elgort, Theo James, Kate Winslet",2015,119 min
333,Venom 2,,,,2020,
334,Godzilla,Roland Emmerich,,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",1998,139 min
335,Chappie,Neill Blomkamp,,"Sharlto Copley, Dev Patel, Hugh Jackman, Sigourney Weaver",2015,120 min
233,Space Jam 2,Terence Nance,,"Sonequa Martin-Green, O'Shea Jackson Jr., LeBron James, Charles Barkley",2021,
234,Mars Attacks!,Tim Burton,,"Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker, Annette Bening",1996,106 min
235,The Bad Batch,Ana Lily Amirpour,,"Suki Waterhouse, Jason Momoa, Jayda Fink, Keanu Reeves",2016,118 min
236,District 9,Neill Blomkamp,,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt",2009,112 min
84,White Chamber,Paul Raschid,,"Shauna Macdonald, Oded Fehr, Amrita Acharia, Sharon Maughan",2018,89 min
85,Alien,Ridley Scott,,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright",1979,116 min
86,Logan,James Mangold,,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",2017,137 min
87,Happy Death Day 2U,Christopher Landon,,"Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma",2019,100 min
500,After Earth,M. Night Shyamalan,,"Jaden Smith, David Denman, Will Smith, Sophie Okonedo",2013,100 min
525,Red Dawn,Dan Bradley,,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck",2012,93 min
526,TRON,Steven Lisberger,,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan",1982,96 min
527,Robots,"Chris Wedge, Carlos Saldanha",,"Ewan McGregor, Halle Berry, Mel Brooks, Robin Williams",2005,91 min
170,Despicable Me 3,"Kyle Balda, Pierre Coffin, Eric Guillon",,"Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove",2017,89 min
171,Under the Skin,Jonathan Glazer,,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell",2013,108 min
172,Oblivion,Joseph Kosinski,,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",2013,124 min
266,Allegiant,Robert Schwentke,,"Shailene Woodley, Theo James, Jeff Daniels, Naomi Watts",2016,120 min
267,"I, Robot",Alex Proyas,,"Will Smith, Bridget Moynahan, Bruce Greenwood, Alan Tudyk",2004,115 min
